,Unnamed: 0,text_id,text,task_1,task_2,task_3,label
5689,5689,hasoc_en_5690,#Army     What is this.... Where was ICC then.    #DhoniKeepBalidaanBadgeGlove #BalidaanBadgeRow #DhoniKeepsTheGlove #DhoniKeepTheGloves #BalidaanBadge #DhoniKeepBalidaanBadgeGlove #DhoniKeSaathDesh @Kritika76263279 @ssumitbansal @ajayarryal @utkarshbais15 https://t.co/t8sitlyjJu,HOF,HATE,TIN,0
933,933,hasoc_en_934,Ted Cruz floats another theory of how Twitter is censoring conservatives #Resist #ResistTrump #FuckTrump https://t.co/PcwRQuRI30,NOT,NONE,NONE,2
4455,4455,hasoc_en_4456,#ENGvWI One question. How come there has not been a drop of rain during england's matches? All day sunny and bright. #ShameOnICC and #ShameOnECB . Scheduled all england matches in accordance to the weather and neglected all other matches. And ecb can't get ground covers. FUCKOFF,HOF,PRFN,UNT,1
5780,5780,hasoc_en_5781,"If we had a basic intelligence test for POTUS, ⁦@realDonaldTrump⁩ would not be infesting our ⁦@WhiteHouse⁩ since he’s dumber then a 3rd grader. #IdiotTrump attacks Nasa and claims the moon is 'a part' of Mars. ⁦@guardian⁩ #25thAmendment  https://t.co/2B5KwgCUkO",HOF,OFFN,TIN,1
3257,3257,hasoc_en_3258,What he really means is 'Jesus would never allow #Trump &amp; #Pence...'  #Dickhead &amp; #Dickless are PROFESSIONAL SINNERS! https://t.co/NmqxhE4QOZ,HOF,HATE,TIN,0
3052,3052,hasoc_en_3053,@TheRealBS2 @CharlieDaniels The @GOP are traitors. #GOPTraitors #TrumpIsATraitor     https://t.co/YvTo9BYMb3,HOF,OFFN,TIN,1
1020,1020,hasoc_en_1021,"Labour MP Wes Streeting listed on Twitter the various occasion Boris Johnson made fantasy claims, broke promises and launched expensive ‘vanity projects’ as Mayor of London. Time to fact-check Boris Johnson’s mayoralty.  #BorisJohnsonShouldNotBePM  https://t.co/5XLUpSZwdq",HOF,HATE,TIN,0
2834,2834,hasoc_en_2835,"Yay, the clown is going to wreck the country. What was his slogan again? fuck business wasn\'t it? Great phrase that.\n\nAm sure he\'s going to make a \'titanic success\' of Brexshit.\n\nAfter all, Tories seem to not have much in the brain department these days. pic.twitter.com/ppcOw5oMe4",HOF,PRFN,TIN,1
2650,2650,hasoc_en_2651,"Doctors studded almost half of thire life just become a worthy of that WHITE COAT &amp; they have invested a lot of money and time for that. They too have life, they too have families, they are also a human being. They just want respect and safety.   #Savethedoctors #DoctorsFightBack",NOT,NONE,NONE,2
4130,4130,hasoc_en_4131,@bhogleharsha @ICC can see @msdhoni badge but doesn't see the ground was not covered.  Most developed Country in 🌏 and call 🏏 as the national sports Yet can't do anything for the biggest tournament. Learn something from #EdenGarden  #ShameOnICC #WorldCup2019 #iccraincup2019 #CricketKaCrown https://t.co/CuYUiOjW4j,HOF,HATE,TIN,0
4350,4350,hasoc_en_4351,@CMofKarnataka @hd_kumaraswamy @narendramodi @PMOIndia @tv9kannada @NEWS9TWEETS @NEWS9 @BJP4India @INCIndia  @CBItweets @CCBBangalore  Look over ds topic @ImaFraud #IMAJewels #Imafraud please... https://t.co/i7zjeDAmNp,HOF,HATE,TIN,0
2814,2814,hasoc_en_2815,"#DoctorsFightBack | Mamata Banerjee repeats 'outsiders' claim over doctors' protest in Kolkata, even as doctors from across India stand together demanding assurance of their safety. Tune in to watch her address #LIVE here - https://t.co/LGCyJUEBn5 https://t.co/EZp0ZIdMba",HOF,HATE,TIN,0
5504,5504,hasoc_en_5505,"Its Shame  for Congress ! These type of idiots should not be in politics , there should be some moral values in people who is so called leader/neta . #GandiNaaliAbuse . Arnab plz don't allow these people who doesn't have respect for PM/ President on national TV",HOF,OFFN,TIN,1
3969,3969,hasoc_en_3970,Of course #IdiotTrump has never called the @FBI.  HE’S the bad guy.  😖  @TheDemocrats  - guys?  Come ON. https://t.co/Wa0OJiTIUU,HOF,PRFN,TIN,1
5301,5301,hasoc_en_5302,@lbcbreaking @chunkymark @LBC @dodgyknees1 😏 really #dickhead,HOF,PRFN,TIN,1
5005,5005,hasoc_en_5006,@realDonaldTrump Just shut up already. We all know you are a con man who stole the election with the help of a foreign power. You are crooked teflon donnie and I pray every blessed day that you are exposed as the criminal that you are. #teflondonnie #TrumpRussia #TrumpIsATraitor #TrumpIsACriminal,HOF,OFFN,TIN,1
2070,2070,hasoc_en_2071,Dhoni should boycott this CWC.  We have @imVkohli as a Best captain.  He will make India win.  #DhoniKeepsTheGlove  @BCCI shame on you that you are still just silent.  Show some goodness for your country and #army .  #DhoniKeepTheGlove,NOT,NONE,NONE,2
213,213,hasoc_en_214,@Conservatives a 'Johnson' is slang for a penis. #Dickhead #NominativeDeterminism  #ToriesOut #PeoplesVote #Blindingobvious,HOF,OFFN,TIN,1
4926,4926,hasoc_en_4927,Hope we boycott this World Cup and organise our own tournament and name it as World cup and play it with every army uniform available.. #IndiaWithDhoni #DhoniKeepsTheGlove,HOF,HATE,UNT,0
4146,4146,hasoc_en_4147,#IMAJewels   #Imafraud   Why is Ima Jewels Scam isn't a national news No big media house is covering this news on big level   The people of #Bengaluru have been cheated in this Fraud   We hate selected media coverage  @Republic_Bharat @abpnewstv @ZeeNewsHindi @Mimansa_Zee @dibang,HOF,HATE,TIN,0
1476,1476,hasoc_en_1477,Fuck Trump and anybody who voted for that Lyin POS!  #FuckTrump https://t.co/sudpYAU1Eu,HOF,PRFN,TIN,1
4035,4035,hasoc_en_4036,More like a serial #rapist Is he kidding me? So full of himself. https://t.co/jhIHj7nEV0,HOF,HATE,TIN,0
4882,4882,hasoc_en_4883,#bullshitboris lets get this trending #borisjohnson #BorisJohnsonShouldNotBePM https://t.co/dxSB3JDP4c,HOF,PRFN,TIN,1
5644,5644,hasoc_en_5645,"If all remaining get washed :   NZ - 12  Ind - 11  Eng - 10  Aus - 10  WI - 9  SL - 9  Pak - 9  Bang - 8   SA - 6  Afg - 6    Semi Final  Aus vs NZ  (If rain continues), NZ  Eng vs Ind  (If rain continues), Ind    Final  Ind vs NZ  (If rain continues),  India-NZ will win jointly 🤣🤣. #ShameOnICC",HOF,HATE,TIN,0
1335,1335,hasoc_en_1336,"@Xpress_Sports @msdhoni @satishacharya @sachin_rt @SGanguly99 @bhogleharsha @sanjaymanjrekar The best answer to @ICC activism.    Get 50,000 T-Shirts / Caps printed with the #BalidanBadge &amp; distribute among the spectators tomorrow. Flood the stadium with #BalidaanBadge.    #DhoniKeSaathDesh #Dhoni #DhoniKeepsTheGlove #ICCWorldCup2019  #IndiaStandsWithDhoni @virendersehwag",NOT,NONE,NONE,2
1536,1536,hasoc_en_1537,"Could this 24 year old immigrant (@ARMilani_) be the thorn in BJ's side?     In a General Election, if the Prime Minister loses his/her seat he would be finished ..    #BorisJohnsonShouldNotBePM   #BollocksToBoris   #BollockstoBrexit https://t.co/gZNiiewXoK",NOT,NONE,NONE,2
4808,4808,hasoc_en_4809,"Repellent, chaotic and a serial liar, Boris Johnson would be a catastrophic prime minister https://t.co/jY4NIdsyAG  #BorisJohnsonShouldNotBePM",HOF,OFFN,TIN,1
5037,5037,hasoc_en_5038,Video of protests in evening by Delhi Sikhs make me proud. Good lessons learnt from past. Also a slap to those who mock Delhi Sikhs with 'b' slurs or say Sikhs in other states don't know how to stand for themselves. Nope. They do. They very much do. #FuckDelhiPolice,HOF,PRFN,TIN,1
3275,3275,hasoc_en_3276,@SenTedCruz Didnt you vote to repeal Sanction for Oleg Deripaska and Rusal? Doesnt Rusal process Aluminum for Nuclear Devices? Do you work for the US or Russia? Hypocrite Much? #TrumpTantrum #TrumpIsATraitor #TrumpCrimeFamily #TrumpConcentrationCamps #TrumpCriminalInvestigations,HOF,HATE,TIN,0
2714,2714,hasoc_en_2715,@RepChrisStewart ——    @RepChrisStewart hitched himself to the #TrumpTrain of lies today.      Chris will get an education as he’s dragged through the mud.     Sad!    #VoteBlueNoMatterWho   #TrumpIsATraitor     ——-,HOF,HATE,TIN,0
2058,2058,hasoc_en_2059,@PatsyResists Everybody stands by America &amp; goes to war against Iran ...    Then Iran bails out a bankrupt Trump Kushner building somewhere ...    Trump changes his mind and defends Iran ...    #ImpeachTrumpNow  #FakePresident  #TrumpIsATraitor  #TrumpCrimeFamily    @SecPompeo,NOT,NONE,NONE,2
3764,3764,hasoc_en_3765,@The_JJAllen @BettyBowers 'Replied to a tweet saying something akin to ' oh yeah'   Bullshit i did . I said politely they are as fucked as each other .  So what is your next reply chief ?  OR are you the Perennial victim of oppression ? #dickhead,HOF,PRFN,TIN,1
1477,1477,hasoc_en_1478,So hanging out in the ER tonight.. doc thought severe numbness &amp; spasams might need MRI but we settled for a ct scan. Hopefully can get home soon and on to pt!? I’m over almost a month of pain!   Oh &amp; #FuckTrump !,NOT,NONE,NONE,2
5426,5426,hasoc_en_5427,"@realDonaldTrump Even #SarahHuckabeeSanders is tired of #TrumpLies as #TrumpLiesMatter     #TrumpIsATraitor &amp; is #DonTheCon     #JohnMcCainDay     @JoeBiden @ewarren @BernieSanders     #TrumpResignNow  #TrumpCrimeFamily leaving    Mitch McConnell, Too, Welcomes Russian Interference https://t.co/fPszDLVNdM",HOF,HATE,TIN,0
1995,1995,hasoc_en_1996,Strauss Tummy Twister @ Rs.499    https://t.co/2dBvQW2Kix    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,NOT,NONE,NONE,2
3304,3304,hasoc_en_3305,@SecPompeo #USAisTerrorists  #FakeNews  #WarCriminals  #FalseFlag  #Liars  #Iraq #WMD  #Lybia   #Syria  #Afghanistan #PoppyFields  #Venezuela   #Chile #Pinochet  #USRegimeChangeWars  #Washington threat to world peace  #StopArmingTerroristsAct  #OperationNorthwoods   #911InsideJob  #JFK   #FuckTrump,NOT,NONE,NONE,2
4651,4651,hasoc_en_4652,Dear @icc you better concentrate on umpires who are sooper in last match ..No balls ni choodatledu ra ayya..Niku Dhoni gloves gurinchi enduku #DhoniKeepsTheGlove Thanks @BCCI supporting him 🙌 #WorldCup2019,HOF,HATE,TIN,0
5728,5728,hasoc_en_5729,@ICC is shit.  Can't even schedule matches properly.  #CWC19 should have either started a bit early or a bit late.  #CWC used to commence before the IPL.  Number of matches abandoned in #CWC19 is more than the total number of matches abandoned in the previous #WorldCups.  #ShameOnICC,HOF,PRFN,TIN,1
2622,2622,hasoc_en_2623,There's a translation included. (For those as clueless as me.)    #HappyJohnMcCainDay   #HappyFlagDayPresidentObama   #fuckTrump https://t.co/TlTzZJ4eac,NOT,NONE,NONE,2
174,174,hasoc_en_175,@realDonaldTrump @USArmy Happy John McCain Day Cadet Bonespurs! #JohnMcCainDay #TrumpIsATraitor,NOT,NONE,NONE,2
3722,3722,hasoc_en_3723,Hey @realDonaldTrump: #Norway is calling. They say you’re a #douchebag,HOF,PRFN,TIN,1
5731,5731,hasoc_en_5732,"Of course, #traitor, #peodphile, #racist, #rapist and serial sexual predator of women, @RealDonaldtRump will do nothing about this as he has complete contempt for the rule of law, unless he can use it as a tool to bash an opponent! https://t.co/dTbNEMuJaA",HOF,OFFN,TIN,1
3285,3285,hasoc_en_3286,Good riddance to this lying sack!  #TrumpIsATraitor   #TrumpMustResign   #JohnMcCainDay   #SarahSandersResigns https://t.co/iNe4UKeee4,HOF,HATE,TIN,0
4978,4978,hasoc_en_4979,#ShameOnICC    Saved my 1.5 GB data to watch #INDvsNZ match and finally found this.. #CWC19  @ICC https://t.co/ambKRiD940,HOF,HATE,TIN,0
4167,4167,hasoc_en_4168,Her BODY /Her RIGHT /Her CHOICE  FUCK! The Heartbeat bill  #art #artist  #shopify #anime #manga #comic #sf5 #chunli #strong #strongwoman #fight #mychoice #blackart #atlantaartist #atlanta #blackartists #sketches #sketch #concepts #conceptart #onlinestore  #fucktrump https://t.co/sH4BX76fKz,HOF,PRFN,UNT,1
865,865,hasoc_en_866,#MeghanMcCain mystifies co-hosts by defending #IdiotTrump with a bizarre #Ebola rant: ‘It’s my No. 1 fear in life’ - https://t.co/vyPc9kAVvy,NOT,NONE,NONE,2
4817,4817,hasoc_en_4818,"@realDonaldTrump W/thoughts like what this fraudulent @POTUS uttered indicates his desire to be #DictatorTrump     WAKE UP America, this will not happen on our watch.  Vote this bastard out via the biggest #BlueWave2020 ever! #TrumpIsATraitor     https://t.co/JoWVXowgEw",NOT,NONE,NONE,2
5146,5146,hasoc_en_5147,"#SkyNews   #BorisJohnson  What about your distasteful comments about #Muslimwomen   #BorisJohnson Is #AntiMuslim #islamaphobic   He will also bring his father,  brother and sister into Downing Street , a Johnson dynasty,  just like #Trump 🙀🤢 https://t.co/rxXMxSaaU6",HOF,OFFN,TIN,1
1215,1215,hasoc_en_1216,This must surely give the other candidates hope ...  #BorisJohnsonShouldNotBePM https://t.co/WFKFlmttKv,NOT,NONE,NONE,2
4299,4299,hasoc_en_4300,"lets be fair. EVERYONE mocked #MoronInChief #IdiotTrump for this one.    anyone who is SO tribal they defended this gaffe is an utter cretin, (and probably #DimboDinesh as well)    #EpicFail https://t.co/lczj9pGwy4",HOF,HATE,TIN,0
4121,4121,hasoc_en_4122,With no doubt this is a total insane and illiterate behavior.     https://t.co/OReHVIt9hZ    #imranhataomulkbachao #ShanghaiCooperationOrganisation,HOF,HATE,TIN,0
5787,5787,hasoc_en_5788,"@realDonaldTrump @MarshaBlackburn Psst no 'do over', continuing.   You're nervous AF huh? Oversight shouldnt bother you as you're all about transparency, right? It's #MoscowMitch who obstructs&amp; doesn't have ability to govern.  #TickTock   #TrumpIsATraitor",HOF,PRFN,TIN,1
4498,4498,hasoc_en_4499,Criminalizing Freedom: The Attacks on Abortion Rights and Free Speech in the Age of Trump #Resist #ResistTrump #FuckTrump https://t.co/42381Od2Ty,HOF,OFFN,TIN,1
4132,4132,hasoc_en_4133,The curse of Imran   Bloody swine !    #Pakistan   #پی_ٹی_آئی_لائی_معاشی_بدحالی   #imranhataomulkbachao https://t.co/MzeOBnQaU2,HOF,PRFN,TIN,1
438,438,hasoc_en_439,@mrjamesob @JamesCleverly I hope they make him Chancellor so he can find out how much unicorns really cost.  #BorisJohnsonShouldNotBePM #StopBrexit #RevokeArticle50,NOT,NONE,NONE,2
2121,2121,hasoc_en_2122,@MysterySolvent #FuckTrump who gives a shit what he does! #June14thJohnMcCainDay,NOT,NONE,NONE,2
5612,5612,hasoc_en_5613,#ShameOnICC @ICC should be investigated for why they choose England as venue and at this time. Thai may turn to be a scam. Fans bought so expensive tickets 1 year ago and the arrangements to cover grounds is wrost than club cricket. @ICC  #ShameOnYou,HOF,HATE,TIN,0
5460,5460,hasoc_en_5461,@realDonaldTrump The American People Demand that the Treasonous Fake Potus @realDonaldTrump Vacates our White House Immediately! #TrumpIsANationalSecurityThreat #TrumpIsADomesticTerrorist #TrumpIsACriminal #TrumpIsATraitor #TrumpIsAFraud #ImpeachDonaldTrumpNOW #VoteBlueToSaveAmerica,HOF,HATE,TIN,0
4513,4513,hasoc_en_4514,@MidWalesMike @jeremycorbyn Ahh yes. The Tories are responsible for Ford deciding not to make any more engines.  I get it now. #dickhead,HOF,PRFN,TIN,1
4275,4275,hasoc_en_4276,and you’re too busy checking up on what Blues fans are doing #dickhead #obsessed https://t.co/Gzl170MMlz,HOF,PRFN,TIN,1
3905,3905,hasoc_en_3906,"#IMAFraud was the wel planned Economic Offense against Muslims, Mohammed Monsoor Khan definitely a Agent of the conspiracy by bigger agency",HOF,HATE,TIN,0
4934,4934,hasoc_en_4935,Trump announces he WOULD accept help from foreign governments in “future elections” ARE 👏WE  👏THIS 👏 FAR 👏.  GONE?!  #TrumpRussiaCollusion #TraitorTrump #AmericansForImpeachment #FuckTrump #ImpeachTrumpNow #LockTheFuckerUpNow https://t.co/e52JLvT6Ha,HOF,HATE,TIN,0
2742,2742,hasoc_en_2743,Trump: I never took any help from Russia.    ...And I'd absolutely do it again.    #ImpeachTrumpNow #TrumpTreason #TrumpIsATraitor   https://t.co/Rb8OpigOnL,HOF,HATE,TIN,0
3776,3776,hasoc_en_3777,"@ericswalwell Have you moved from 0% chance to at least 1% in the polls as a result of this very pathetic ad?? 😂  You keep embarrassing yourself time after time, it’s priceless! #douchebag 🤡🤡",NOT,NONE,NONE,2
1577,1577,hasoc_en_1578,@realDonaldTrump WRONG Stop with the lies you sick evil  #DEMENTED   #LyingTrump   #PutinsPuppet   #TRUMPcriminalIMPEACHMENT   #TrumpCrimeFamily   #locktrumpup   Just resign you will never lie you way out of this.   #TrumpIsATraitor,HOF,OFFN,TIN,1
654,654,hasoc_en_655,"@senatemajldr WE HAVE BEEN WAITING FOR @realDonaldTrump IMPEACHMENT.   YOU'RE A TRAITOR,  TOO.    #FUCKTRUMP #AMERICANSFORIMPEACHMENT https://t.co/FDs4U53nTj",HOF,OFFN,TIN,1
3919,3919,hasoc_en_3920,@MeetThePress @SteveScalise Really Steve @SpeakerPelosi isn’t working with you on big issues? You mean like @senatemajldr not bringing any bills to the floor to protect our elections? But hell its only Our Democracy you refuse to protect   #GOP #TrumpIsATraitor,NOT,NONE,NONE,2
767,767,hasoc_en_768,"#DoctorsFightBack Prime years of a doc are drowned in books &amp; wards to be able to help others. Security &amp; dignity for them is a basic duty of the state. Worked in JJ hosp for years...even worst of criminals had convention of no violence in hospital, let alone attacking doctors.",NOT,NONE,NONE,2
768,768,hasoc_en_769,#DoctorsFightBack vs #LeecheeFightBack how many competent Doctors Intelligent General Class (NonResereved) in Bihar to save babies!,NOT,NONE,NONE,2
3451,3451,hasoc_en_3452,"@respectmyblog @SInow I’m usually a little more eloquent with my words, but growing up in Southern California and watching this all happen literally in my face only elicits a three-word response when I think of O.J.; Fuck You, O.J. Yes, I’d say it to his face, too. #Murderer",HOF,PRFN,TIN,1
3692,3692,hasoc_en_3693,I swear that is the happiest expression i have ever seen on his face. #TrumpIsADisgrace #TrumpisaTraitor https://t.co/xSYOF2MDiA,NOT,NONE,NONE,2
128,128,hasoc_en_129,Trump downplays the time he said he’d take help from foreign actors offering dirt on 2020 Dems #Resist #ResistTrump #FuckTrump https://t.co/BPodenyc5R,NOT,NONE,NONE,2
2816,2816,hasoc_en_2817,"@RepMattGaetz @realDonaldTrump Too many DUIs have addled your brain. If you can still read, try a snippet of the Mueller report. There are nothing false except yours and Trump’s denials. It’s all Russians all the time. #TrumpRussia #TrumpIsATraitor #TrumpMustResign https://t.co/av4yBeKrUb",HOF,HATE,TIN,0
1666,1666,hasoc_en_1667,"remember the Ind vs NZL T20 held on 7th Nov 2017 in Trivandrum, India in which the game started within half an hour after the heavy 5 hrs rain. What a pathetic condition for the stadiums in ENG even they are developed country. ICC has to be more vigilant. #ShameOnICC #ICCWC2019 https://t.co/vPdgFqhNmM",NOT,NONE,NONE,2
5351,5351,hasoc_en_5352,"When the strike is called off eventually, I request the doctors to treat didi's mental consition ASAP because she is clearly losing it. Our Mohalla clinic docs n handsome Manish r ready to give all assiatance in this regard. #DoctorsFightBack",HOF,HATE,TIN,0
3575,3575,hasoc_en_3576,The dirty secrets of Boris Johnson’s seduction of Conservative MPs | Andrew Rawnsley | Opinion | The Guardian https://t.co/JwhFhT9atB  #BorisJohnsonShouldNotBePM,NOT,NONE,NONE,2
4756,4756,hasoc_en_4757,"@realDonaldTrump @USArmy @realDonaldTrump And YOU had NOTHING to do with it! If they're so great, why do you keep selling us out to #NorthKorea and #Russia? Oh, right. Because #TrumpIsATraitor.",HOF,OFFN,TIN,1
1642,1642,hasoc_en_1643,#Dickhead  Don't be one.   I give you mfs 1 minute of conversation followed by 4 minutes of laughter.  Foh &amp;  Good Day https://t.co/5isPM1bEhc,HOF,PRFN,TIN,1
3993,3993,hasoc_en_3994,"@The_OJSimpson32 OJ, you are by far the greatest running back / murderer (allegedly) of all time!    #OJSimpson #OJ #THEJUICE  #THEJUICEISLOOSE #Run #Juice #Knife  #MURDERER? #REDRUM #Cutthroat #Killer  #Throat #slasher    #NicoleBrownSimpson #RonGoldman    The killer is on some #Golf course    #USOpen https://t.co/IPEBMRyuuX",HOF,OFFN,TIN,1
3862,3862,hasoc_en_3863,"Earlier the #Bengal is known for #tagore #raman #bose #dada #rashgulla but now 'one' is ruining the whole of it.  #DoctorsFightBack #DoctorsProtest #suffering is again only for commons, let them go back on their conditions!!!!",NOT,NONE,NONE,2
2910,2910,hasoc_en_2911,"#GandiNaaliAbuse.The way Congress received drubbing in recently concluded hustings ,Congimen are unable to digest this and they are now resorted to use of abuses and gaali galoch against PM Modi non other than  opp. Leader Adhir Ranjan Choudhari which shows how mean they are.",HOF,HATE,TIN,0
854,854,hasoc_en_855,#DoctorsFightBack  Sir @SrBachchan Doctors of all over india demand justice for brutal assault of kolkata doctors.  Your response will help in raising our voice. 🙏,NOT,NONE,NONE,2
5775,5775,hasoc_en_5776,@ICC has no problem with the entire Pakistan cricket team marking territory by praying on the cricket field (part of Muslim ritual prayer) but find insignia on  @MSDhoni  's gloves inappropriate.  #DhoniKeepsTheGlove💪🏻🇮🇳 https://t.co/pZCZQpKjbt,HOF,HATE,TIN,0
3111,3111,hasoc_en_3112,"@realDonaldTrump #PresidentObama  will always be superior to you, #IdiotTrump. No contest, really.",HOF,HATE,TIN,0
2972,2972,hasoc_en_2973,@cricketworldcup it's totally wrong to blame @ICC the world is done with all team concern and every team deserves the host. @ECB_cricket @englandcricket so guys be patience  It is sad but no one can beat the nature @BCCI  #ShameOnICC nothing to shame just support it.  #supporticc,NOT,NONE,NONE,2
1,1,hasoc_en_2,@politico No. We should remember very clearly that #Individual1 just admitted to treason . #TrumpIsATraitor  #McCainsAHero #JohnMcCainDay,HOF,HATE,TIN,0
4057,4057,hasoc_en_4058,The pretending president says nothing. SMFH    #FUCKTRUMP https://t.co/F88VMrdrRM,HOF,OFFN,TIN,1
1516,1516,hasoc_en_1517,"Haven’t been on much, not feeling well. Just wanted to say hi to everyone. Also wanted to celebrate that today (June 14th) is John McCain Day🇺🇸 Oh and  F**K TRUMP! 😁  #JohnMcCainDayJune14th #JohnMcCainAmericanHero #TrumpIsADisgrace #fucktrump https://t.co/RyzfiLqlpa",HOF,PRFN,TIN,1
