,Unnamed: 0,text_id,text,task_1,task_2,task_3,label
13,13,hasoc_en_14,@ narendramodi @ pmoindia_namo @ narendramodi @ PMOIndia @ AmitShah @ RamNanthKobind Grevious <SWEAR-2> on jr doctors in all medical colleges in WB . No action being taken for safety security and justice . PM sir please intervene asap . # Savethedoctors # DoctorsFightBack,NOT,NONE,NONE,2
14,14,hasoc_en_15,ICC denies request from BCCI to allow MSD wear gloves with Army insignia . @ ICC @ BCCI # DhoniKeepTheGlove # DhoniKeepsTheGlove,NOT,NONE,NONE,2
15,15,hasoc_en_16,Good work @ ICC keep going just <SWEAR-2> the whole <SWEAR-2> world cup # ShameOnICC https : //t.co/ELvq7PAuY9,HOF,PRFN,TIN,1
16,16,hasoc_en_17,"Wow , you 're full of it @ MattHancock # BorisJohnsonShouldNotBePM # KickThemOut https : //t.co/mbl0wsYroj",NOT,NONE,NONE,2
17,17,hasoc_en_18,"All Indian spectators shd hv # BalidanBadge in ground , # DhoniKeepsTheGlove # DhoniKeepBalidaanBadgeGlove # DhoniKeepsTheGlove # DhoniKeSathDesh",NOT,NONE,NONE,2
18,18,hasoc_en_19,@ ICC @ BCCI What about Virat Kholi tattoos 😂😂 # DhoniKeepsTheGlove https : //t.co/hGaAB9GCyD,NOT,NONE,NONE,2
19,19,hasoc_en_20,Which is more important ? # IndiaWithDhoni # DhoniKeepsTheGlove https : //t.co/Iib4R9P0qn,NOT,NONE,NONE,2
20,20,hasoc_en_21,@ KBMteam @ iowaspeedway @ HBurtonRacing @ rileyherbst @ ToddGilliland_ @ CSmithDrive @ rileyherbst is gon na <SWEAR-2> . # Douchebag,NOT,NONE,NONE,2
21,21,hasoc_en_22,Harbor N Bay Mens Boxer Short Pack of 2 @ Rs.299 https : //t.co/tceazILuQp # DoctorsFightBack # SaveBengal # amazon # flipkart # deals # dealoftheday # amazingdeals # offers # discount # JaiShreeRam # ModiForAll,NOT,NONE,NONE,2
22,22,hasoc_en_23,ICC turns down # BCCI 's request to allow @ msdhoni to continue wearing the army insignia on his wicket-keeping gloves ; ICC says regulations for ICC events do not permit any individual message or logo to be displayed on any items of clothing or equipment . # DhoniKeepsTheGlove https : //t.co/HuGm4DiLuL,NOT,NONE,NONE,2
23,23,hasoc_en_24,# ShameOnICC 1 . ICC on Dhoni 's gloves Vs 2.ICC planning the World Cup https : //t.co/4kO3zKt7ln,HOF,HATE,TIN,0
24,24,hasoc_en_25,Senior # Doctors of # RGKar greeted with applause & amp ; ovation by # JuniorDoctors after they came back submitting # Resignation . Hear them . This is not orchestrated . This is not paid stunt . These are docs mass-resigning in <SWEAR-2> . # DoctorsFightBack # SaveTheDoctors # IstandwithNRS https : //t.co/3c4z1X26hm,NOT,NONE,NONE,2
25,25,hasoc_en_26,Empty podiums make too much noise # ToryLeadershipDebate # UKPM # BorisJohnsonShouldNotBePM # Leadersdebate # GTTO # JC4PM2019 # frightnight https : //t.co/aDgCqhdDTl,NOT,NONE,NONE,2
26,26,hasoc_en_27,# ShameOnICC # iccworldcup2019 world cup reality https : //t.co/MhPD5gDVze,NOT,NONE,NONE,2
27,27,hasoc_en_28,Disgusting ! And they don ’ t change their culture or come up with vetting system or preventative ways to stop this from occurring . This will continue to happen . The <SWEAR-0> <SWEAR-2> needs to go ! # <SWEAR-0> # ChildTrafficking # CatholicChurch # CatholicTwitter https : //t.co/tb4tSoD2Lz,HOF,HATE,TIN,0
28,28,hasoc_en_29,GOQii VITAL - <SWEAR-2> Display Blood Pressure Monitor @ Rs.1999 ( mrp-3499 ) https : //t.co/f9OHrx9kd2 # DoctorsFightBack # SaveBengal # amazon # flipkart # deals # dealoftheday # amazingdeals # offers # discount # JaiShreeRam # ModiForAll,NOT,NONE,NONE,2
29,29,hasoc_en_30,500 doctors have already resigned in # Bengal . NRS 100 SSKM 175 National medical college 20 RG Kar 126 North Bengal college 119 Murshidabad 50 Rampurhat 37 Burdwan 26 # DoctorsFightBack # SaveTheDoctors,NOT,NONE,NONE,2
30,30,hasoc_en_31,"Hi everyone , I 'm in Kolkata and just thought I 'd let you know about some crazy goings on in the medical world here , which has become front page news . Recent years have seen a rise in <SWEAR-1> against doctors , often the most junior . # DoctorsFightBack https : //t.co/Wk3I7bXMR1",NOT,NONE,NONE,2
31,31,hasoc_en_32,"@ BCCI @ ICC @ englandcricket Worst ever world cup arrangement in cricket history # ShameOnICC # ShameOnEngland # WC2019 No swimming pool , gym in hotel . # EnglishBeggers # RoyalBeggers",NOT,NONE,NONE,2
32,32,hasoc_en_33,@ realDonaldTrump <SWEAR-2> you and go <SWEAR-2> yourself you piece of <SWEAR-2> someone get this <SWEAR-0> a jail cell for his birthday # ImpeachTrumpNow # fucktrump # dickstaindonald # DerangedDonald https : //t.co/41eFBCu2uD,HOF,PRFN,TIN,1
33,33,hasoc_en_34,Donald Trump <SWEAR-2> . # TrumpIsATraitor Happy # JohnMcCainDay ! https : //t.co/uaFNXVT2m5 https : //t.co/WeBD6lhm54,NOT,NONE,NONE,2
34,34,hasoc_en_35,"@ TheRealOJ32 Of all the retired NFL players , why is it that you DON ’ T suffer from CTE ? You should be at the bottom of a pool you mistook for an elevator . # <SWEAR-2>",HOF,HATE,TIN,0
35,35,hasoc_en_36,The Telegraph´s use of the word ´crown´ with regard to Boris Johnson just says it all . # BorisJohnsonShouldNotBePM https : //t.co/ynmm0Ryugq,NOT,NONE,NONE,2
36,36,hasoc_en_37,"# DoctorsFightBack | No doctor wishes to stop emergency services : Dr Sayantan Banerjee , Resident doctor , AIIMS ( Relative of <SWEAR-2> Dr Paribaha Mukherjee ) https : //t.co/6OhGHwzPKy",NOT,NONE,NONE,2
37,37,hasoc_en_38,@ timesofindia No worries @ timesofindia because there will be on only one winner And that is . . . . . . . . . . . . . . . Rains🤷 # ShameOnICC . . . .,NOT,NONE,NONE,2
38,38,hasoc_en_39,Will @ ImRo45 score a 100 again today ? Predict @ https : //t.co/miljukaKu1 and win prizes . # INDvAUS # DhoniKeepsTheGlove # DhoniAtCWC19 https : //t.co/rZ1dlFsKOX,NOT,NONE,NONE,2
39,39,hasoc_en_40,DO N'T support a country Who has Concentration Camps againts small etnich groups and religions DO N'T support the violencie and discrimination 🚫 # HumanRights # BoycottChina # StopRacismo # Diversity # China # EndHate # StopViolence https : //t.co/FLmiZWIFjY,NOT,NONE,NONE,2
40,40,hasoc_en_41,"# DhoniKeepsTheGlove @ ICC you are zero without dhoni like captain , person ... https : //t.co/jxBh5MW1L5",NOT,NONE,NONE,2
41,41,hasoc_en_42,@ ashwinnagar @ MamataOfficial For interest of puplic she is speaking # DoctorsFightBack # doctors @ MamataOfficial # MamataBanarjee,NOT,NONE,NONE,2
42,42,hasoc_en_43,Now if all <SWEAR-2> matches will get washed NZ - 12 Ind - 11 Eng - 10 Aus - 10 WI - 9 SL - 9 Pak - 9 Ban - 8 SA - 6 Afg - 6 Semis Aus vs NZ ( If rain does n't stop ) NZ Eng vs Ind ( If rain does n't stop ) Ind Final Ind vs NZ ( If rain does n't stop ) NZ - India will win # ShameOnICC,NOT,NONE,NONE,2
43,43,hasoc_en_44,@ Werdnat This crazy Manbaby will probably paint it gold . Not gawdy at all . # ihate45 # worstPresidentever # weaselheadedfucknugget # shutyourshithole # fucktrump # yousuck # liarinchief # noclass # <SWEAR-1> # ridusofthisdisease # UnfollowTrump ┌∏┐ ( •˽• ) ┌∏┐,HOF,PRFN,TIN,1
44,44,hasoc_en_45,This is everything . # fucktrump https : //t.co/e2C48U3pss,HOF,PRFN,TIN,1
45,45,hasoc_en_46,"@ AMISHDEVGAN Where were the IMA & amp ; other associations when doctors were being hounded for a year after # BRDOxygenTragedy without any fault of their own ? Doctors need to stand up with each other , no matter who the <SWEAR-2> is and who is in power # DoctorsFightBack # DoctorsProtest",NOT,NONE,NONE,2
46,46,hasoc_en_47,Hey Trump ! These lovely ladies got something to tell ya ... . # FUCKTRUMP https : //t.co/s1WhlaPaMf,HOF,PRFN,TIN,1
47,47,hasoc_en_48,"I love this bill , I think they should start printing them # FuckTrump https : //t.co/NY9CuyivGl",HOF,PRFN,TIN,1
48,48,hasoc_en_49,<SWEAR-2> basically he ’ s not vegan # <SWEAR-0> 🙄 https : //t.co/Z2SPDxudxp,HOF,PRFN,TIN,1
49,49,hasoc_en_50,@ TheRealOJ32 The world will rejoice when you <SWEAR-2> . # <SWEAR-2> # classless,HOF,OFFN,TIN,1
50,50,hasoc_en_51,Acoustic & amp ; Electric Guitar Kits from Rs.1699 https : //t.co/wXRyzchSIH Guitars & amp ; Other Musical Instruments Upto 75 % off https : //t.co/NCQt99ChnD # DoctorsFightBack # SaveBengal # amazon # flipkart # deals # dealoftheday # amazingdeals # offers # discount # JaiShreeRam # ModiForAll,NOT,NONE,NONE,2
51,51,hasoc_en_52,"@ realDonaldTrump Maybe @ LindseyGrahamSC should take his lips off your <SWEAR-2> , read the report , and get with the dems and everyone else with half a brain and get YOU out of the <SWEAR-2> House ! 🤷‍♂️ # POSPOTUS # <SWEAR-1> # ImpeachTrump # FuckTrump # ButNotLiterallyLindsey",HOF,PRFN,TIN,1
52,52,hasoc_en_53,https : //t.co/soiOMk5pal “ This ruling sends a clear message that <SWEAR-1> voices will not be silenced by threats and hate. ” - @ DeanObeidallah via @ WashTimes @ MuslimAdvocates helped represent Mr. Obeidallah . # AntiMuslim # Islamophobia # Justice https : //t.co/9oV1I1zxev,NOT,NONE,NONE,2
53,53,hasoc_en_54,"-50 ' C to -70 ' C avg . temp in # Siachen , in winters ( avg . people feel cold +15 ' C ) In such # Skull freezing envrmnt # IndianArmy protect # us But people like kanahiya kumar referred # IndianArmy as # <SWEAR-0> and supports who <SWEAR-0> and throw stones at # IndianArmy https : //t.co/gI6xQum7Ln",NOT,NONE,NONE,2
54,54,hasoc_en_55,Mamta ji pls do n't drag <SWEAR-1> in this case no one said they wo n't treat any particular religion I am a <SWEAR-1> pls stop speculating situation based on religion Stop playing bloody politics # MamtaBanerjee # DoctorsFightBack # India # westbengal # trinamool,NOT,NONE,NONE,2
55,55,hasoc_en_56,"Are you watching , Johnson ? # borisjohnson # BorisJohnsonShouldNotBePM # incompetent https : //t.co/ysNwC9fGuI",NOT,NONE,NONE,2
56,56,hasoc_en_57,Well come to New Pakistan with new rates # Budget2019 # PTIGovernment # imranhataomulkbachao https : //t.co/Jj2Ip6YvSZ,NOT,NONE,NONE,2
57,57,hasoc_en_58,@ realDonaldTrump Just this : T.R.U.M.P is ... GOOD ! HE SHOULD BE ! # TrumpIsATraitor https : //t.co/5LbpbOCrdg,NOT,NONE,NONE,2
58,58,hasoc_en_59,"just going to leave this here 👏🏻 keep your eyes and mind open to how the media portray people and remember , question everything # Leadersdebate # BorisJohnsonShouldNotBePM https : //t.co/xIKypuvnLA",NOT,NONE,NONE,2
59,59,hasoc_en_60,All the best to # TeamIndia for another swimming competition on Sunday against # India 🇮🇳 # Pakistan . 🇵🇰 # INDvPAK # ShameOnICC # CWC19 # CWC19Rains ☔☔ https : //t.co/LmI5bnCCvR,NOT,NONE,NONE,2
60,60,hasoc_en_61,Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x https : //t.co/cCONVvIIWf # fucktrump # antitrump # votebluenomatterwho https : //t.co/oQkq0Ya6Gy,NOT,NONE,NONE,2
61,61,hasoc_en_62,@ ICC @ bira91 This world cup 19 should be ban ! ! 😡😡 Rain rain rain motherfuckerr ICC Shift this world to another country or ban this world cup 19 😡😡 # ShameOnICC 😡😡,HOF,PRFN,TIN,1
62,62,hasoc_en_63,Learn how to cover up the ground # ShameOnICC,NOT,NONE,NONE,2
63,63,hasoc_en_64,"😅😂🤣🤣 LMAO at the shoe-lifts , girdle-butt stance . Pathetic . But # FUCKTRUMP for the vomitus of <SWEAR-2> he spews and <SWEAR-2> he commits😡🤬🤮🤬😡 https : //t.co/1IhAUsvqnx",HOF,PRFN,TIN,1
64,64,hasoc_en_65,"We have waited 4 years to see the world cup matches , not the rain . If this continues it will be very disappointing for all the fans. # ShameOnICC",NOT,NONE,NONE,2
65,65,hasoc_en_66,Gee ... where have we seen this before ? # fucktrump # ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in <SWEAR-1> https : //t.co/Hb5krYqkIB,NOT,NONE,NONE,2
66,66,hasoc_en_67,"Sarah Sanders is floating the idea of running for Arkansas governor , sources say # Resist # ResistTrump # FuckTrump https : //t.co/L78qmZDJWu",NOT,NONE,NONE,2
67,67,hasoc_en_68,# dirtyjohn # bravo holy <SWEAR-2> the guy was in # LosGatos and that 's in my neck of the woods it 's # siliconvalley # sanjose # scary # <SWEAR-2>,NOT,NONE,NONE,2
68,68,hasoc_en_69,# ShameOnICC : Indian Fans Unleash Their Wrath Upon ICC After Another World Cup Washout https : //t.co/UeO1Iy22cr,NOT,NONE,NONE,2
69,69,hasoc_en_70,Throwback to the time when Pak dedicated an entire match to its army and the ICC did n't even flinch . India must not be pressured by ICC and change # Dhoni gloves . Do n't let Pak win . Boycott the WC India ! # DhoniKeepTheGlove # DhoniKeepsTheGlove # DhoniKeSaathDesh # DhoniKeepTheGloves https : //t.co/pcJdN21liN,NOT,NONE,NONE,2
70,70,hasoc_en_71,I want to know too ! Thanks @ AOC for asking these questions ! # FuckTrump # BeBest # OrangeFoolius . https : //t.co/FLZlaqdSLt,NOT,NONE,NONE,2
71,71,hasoc_en_72,We do n't need a special law . WE NEED PROPER UNBIASED ENFORCEMENT OF EXISTING LAWS . Once they are applied properly and people jailed there will be deterrence . We doctors must win back the trust of the people . This will ensure political support for us . # DoctorsFightBack,NOT,NONE,NONE,2
72,72,hasoc_en_73,Top 50 hashtags mentioning @ realDonaldTrump for 2019-06-15 07:00 to 2019-06-15 15:00 GMT+0 # MAGA # JohnMcCainDay # Trump2020 # DerangedDonald # Trump # TrumpIsATraitor # ImpeachTrumpNow # WWG1WGA # RT # ImpeachTrump https : //t.co/CSJrZiSfsH,NOT,NONE,NONE,2
73,73,hasoc_en_74,"# DhoniKeepsTheGlove why only dhoni all the indian audience should also wear the jersey and banner with 'Balidan ' Insignia . Tv channels , news papers and wherever possible should include this insignia .",NOT,NONE,NONE,2
74,74,hasoc_en_75,@ jimsciutto @ RepMcCaul Except ... Trump ’ s hand has already been caught in the cookie jar trying to get “ dirt ” on an opponent from Russia . Remember ... Trump Tower ? # TrumpIsATraitor # ImpeachmentHearingsNow https : //t.co/AWvmmEqN2F,NOT,NONE,NONE,2
75,75,hasoc_en_76,"<SWEAR-2> LIVE ! Covering the <SWEAR-2> of the sleazy , cheating # GOP ! https : //t.co/GLZrjv6HxA -- - & gt ; 'Viva La Resistance ! ' # Trump # fucktrump # libcrib",NOT,NONE,NONE,2
76,76,hasoc_en_77,Livpure Glo 7L RO+UV + Mineralizer Water Purifier @ Rs.9499 ( mrp-15990 ) https : //t.co/iNAuUJY5tX More : https : //t.co/Qw2tZtN8Lx https : //t.co/iNAuUJY5tX # DoctorsFightBack # SaveBengal # amazon # flipkart # deals # dealoftheday # amazingdeals # offers # discount # JaiShreeRam # ModiForAll,NOT,NONE,NONE,2
77,77,hasoc_en_78,"The most awaited variant from # OnePlus - # OnePlus7Pro in Almond . Buy Now on @ amazonIN 👉https : //t.co/yt4E7vkM32 with an EMI starting at just ₹2,495 # OnePlus7IsHere # oneplus7series # OnePlus7 # WorldBloodDonorDay # ShameOnICC # FridayMotivation # NBAFinals # FridayFeeling # WeTheNorth",NOT,NONE,NONE,2
78,78,hasoc_en_79,Ted Bundy ’ s final meal . He didn ’ t even pick at it . # <SWEAR-1> # <SWEAR-2> # <SWEAR-2> # tedbundy # breakfast # lethalinjection https : //t.co/xJ4LrWmcph,NOT,NONE,NONE,2
79,79,hasoc_en_80,"@ CMofKarnataka , @ siddaramaiah , @ MBPatil @ DVSBJP Dear Sir please look at this video we all met Earlier Homeminster for # TGSFraud and # DreamZGKfraud Like you he also promised. # IMAfraud https : //t.co/PKAlmcjPcf @ suvarnanewstv",NOT,NONE,NONE,2
80,80,hasoc_en_81,Dear @ ICC this is world cup not a club cricket <SWEAR-2> please check the umpiring errors instead of @ msdhoni gloves . # DhoniKeepsTheGlove # DhoniKeepTheGlove # DhoniKeSaathDesh,NOT,NONE,NONE,2
81,81,hasoc_en_82,# INDvsNZ toss be like ... . # ShameOnICC https : //t.co/aO6mN6OEl7,NOT,NONE,NONE,2
82,82,hasoc_en_83,"@ dna Instead of focusing on game , why have a unnecessary controversy . Is wearing a symbol only way to show respect . Rather Win the worldcup and dedicate it to our forces . It will give them more high n respect worldover . Its a matter of priority n focus. # DhoniKeepsTheGlove",NOT,NONE,NONE,2
83,83,hasoc_en_84,Boris Johnson = chaos @ RoryStewartUK = stability It really is as simple as that ! # Toryleadership # BorisJohnsonShouldNotBePM https : //t.co/Uv37w5YMVC,NOT,NONE,NONE,2
84,84,hasoc_en_85,# DhoniKeepsTheGlove What 's wrong with @ ICC ? ? Dhoni is first a soldier then a cricketer ... .. @ BCCI,NOT,NONE,NONE,2
85,85,hasoc_en_86,# DoctorsFightBack # PresidentsRule is only option TMC goons r not in control of @ mamt https : //t.co/XZvOa2LaO5,NOT,NONE,NONE,2
86,86,hasoc_en_87,@ ICC why is it okay ? # DhoniKeepsTheGlove # DhoniKeSaathDesh https : //t.co/my3pMe9x2O,NOT,NONE,NONE,2
87,87,hasoc_en_88,You # supportdhoni # MSDHONI # DhoniKeSaathDesh # Dhoni ? ? ? # BCCI # CWC19 # DhoniKeepTheGloves # DhoniKeepsTheGlove # DhoniKeepBalidaanBadgeGlove # BalidanBadge # Balidan # bbccricket # CricketWorldCup2019 # WorldCup2019 Retweet 🔄 for # msdhonigloves Like 👍 👇,NOT,NONE,NONE,2
88,88,hasoc_en_89,@ cbouzy Did my part . # <SWEAR-2>,NOT,NONE,NONE,2
89,89,hasoc_en_90,Hypocrisy of the Indian elite # SaveBengal # Savethedoctors # India # MamataLosingControl # MamataBanerjee # Kolkata # WestBengal # BengalDoctorsStrike @ MamataOfficial @ BJPBengal @ NewIndianXpress @ TimesNow @ republic # democracy # DoctorsFightBack # DoctorsStrike # DoctorsProtest https : //t.co/OEDcx2uCeq,NOT,NONE,NONE,2
90,90,hasoc_en_91,5000+ Doctors and Non Medicos walked from NRS to CNMC for our cause . History has been created as this is probably one of the biggest movement that has been carried out by the doctors . # DoctorsFightBack https : //t.co/QVZ12X03ma https : //t.co/OKgUzp5JRa,NOT,NONE,NONE,2
91,91,hasoc_en_92,@ realDonaldTrump <SWEAR-2> our country ? More like defending our country against a treasonous traitor in the <SWEAR-2> house ! # TrumpIsATraitor # TrumpTaxes # TrumpsAnInternationalDisgrace # TrumpMustResign,HOF,OFFN,TIN,1
92,92,hasoc_en_93,Gabor nails it again . A voice of reason . # BorisJohnsonShouldNotBePM https : //t.co/OzkGK5vL7n,NOT,NONE,NONE,2
93,93,hasoc_en_94,Few minutes left for Almond # OnePlus7Pro on @ amazonIN Available with # SBI Cash back of ₹2000 and up to 6 months No Cost EMI 💳 Quick hands on to buy it 👇 # OnePlus7 # OnePlus7IsHere # OnePlus7Pro # OnePlus # WeTheNorth # ShameOnICC # FridayMotivation # FridayFeeling # NBAFinals,NOT,NONE,NONE,2
94,94,hasoc_en_95,AOC asks the FBI why they give <SWEAR-2> supremacists a pass # Resist # ResistTrump # FuckTrump https : //t.co/kZscCJo2jR,NOT,NONE,NONE,2
95,95,hasoc_en_96,@ kojikabu @ Maggie_Klaus @ JoeBiden What it is that we will do anything to get trump the <SWEAR-2> out there EXCEPT CHEAT LIKE TRUMP DID ! ! ! ! # FuckTrump # Bluewave2020,HOF,HATE,TIN,0
96,96,hasoc_en_97,"Boris Johnson will <SWEAR-2> about anything if it gives him an advantage . In the local elections he was forced to delete a tweet claiming to have just voted ... BUT , there were no elections in his area ! This Trump-like compulsive liar just ca n't stop himself ... # BorisJohnsonShouldNotBePM https : //t.co/Gpm4d9k8oR",NOT,NONE,NONE,2
97,97,hasoc_en_98,"Ian Bagg Part 4 : He once told a feature act who asked to sell his album after the show , “ Nope , they came for me , not you ” # Fact # DoucheBag # 50YearOldMan # 47viewedPodcast",NOT,NONE,NONE,2
98,98,hasoc_en_99,@ GuidoFawkes What a <SWEAR-1> lot # ToryLeadershipContest contenders have exposed themselves to be ! # ToryLeadershipContest # BorisJohnsonShouldNotBePM,NOT,NONE,NONE,2
99,99,hasoc_en_100,Marlon Craft - Gang <SWEAR-2> ( Official Music Video ) https : //t.co/jh7QJds6n0 via @ YouTube @ GOP # FuckTrump # CopsAreTheGang,NOT,NONE,NONE,2
100,100,hasoc_en_101,@ BorisJohnson If we want to unite our country- we should commit that anyone who us scared to face a bit of public scrutiny should n't be allowed to run for Prime Minister ... # BorisJohnsonShouldNotBePM # BorisJohnson # ToryLeadership # ToryLeadershipDebate # ToriesOut,NOT,NONE,NONE,2
101,101,hasoc_en_102,Analysis : Sarah Sanders ' legacy : The <SWEAR-2> of the <SWEAR-2> House press briefing # Resist # ResistTrump # FuckTrump https : //t.co/jjU0hqifun,NOT,NONE,NONE,2
102,102,hasoc_en_103,<SWEAR-2> it looks like the <SWEAR-2> incompetent homophobic <SWEAR-2> # BorisJohnson will be the next # Tory leader ... well at least we ’ ll get a # GeneralElection eh Boris ? # BorisJohnsonShouldNotBePM # ToryDrugOff # ToryLeadershipContest https : //t.co/Ho4HibTo7A,HOF,OFFN,TIN,1
103,103,hasoc_en_104,It 's not a windmill . It 's not a fan . It 's a wind turbine and it 's good for the environment . # fucktrump https : //t.co/jWfqPYuV2Y,NOT,NONE,NONE,2
104,104,hasoc_en_105,@ mayukhrghosh This is applaudable move by doctors . They save our lives . We must support them against the voilence . # Savethedoctors # DoctorsFightBack,NOT,NONE,NONE,2
105,105,hasoc_en_106,This will not work we are not scapegoats.. centre should intervene . . # DoctorsFightBack @ narendramodi @ PMOIndia @ AmitShah @ drharshvardhan,NOT,NONE,NONE,2
106,106,hasoc_en_107,"Mitch McConnell , Too , Welcomes Russian Interference # Resist # ResistTrump # FuckTrump https : //t.co/lrfPdmtEyk",NOT,NONE,NONE,2
107,107,hasoc_en_108,"If a doctor needs to be assualted or <SWEAR-2> for every patient who <SWEAR-2> during treatment , then here is a list of people who also deserve the same fate . # Savethedoctors # SaveBengal # savethesaviour # SaveDoctors # DoctorsFightBack # DoctorsStrike # DoctorsProtest # doctor # DoctorStrike https : //t.co/RPe3CTQPp3",NOT,NONE,NONE,2
108,108,hasoc_en_109,@ mkraju Says the guy who <SWEAR-2> the tree that Macron gave u for friendship n peace ! ! # sad # douchebag,NOT,NONE,NONE,2
109,109,hasoc_en_110,@ TheRealOJ32 ... You 're finally going to admit to something bad you did in the past ? # Juice # THEJUICEISLOOSE # OJ # Simpson # Golf # course # <SWEAR-2> Are you # OnTheHunt for the real # <SWEAR-2> ? # <SWEAR-2> # Redrum # <SWEAR-2> ? # NicoleBrownSimpson # RonGoldman # Admit what you did # Comeclean Tell the # truth https : //t.co/LHiXlgS0wW,NOT,NONE,NONE,2
110,110,hasoc_en_111,# BorisJohnsonShouldNotBePM he is already ducking and <SWEAR-2> the 5 friendly candidates ... <SWEAR-2> help us when it comes to to the 27 <SWEAR-1> countries ! ! https : //t.co/siS59z36pR,NOT,NONE,NONE,2
111,111,hasoc_en_112,1.Death of Dr Payal Tadvi 2.Arresting of Dr kafeel khan 3.72 children <SWEAR-2> due to insufficient oxygen ! Where were these doctors ? # DoctorsStrike # DoctorsFightBack # DoctorsProtest # Savethedoctors,NOT,NONE,NONE,2
112,112,hasoc_en_113,"Vinay Tewari , Consulting Editor : Global sporting events across the world work on volunteers & amp ; I 'm not too sure if # England is <SWEAR-2> badly placed that they ca n't hire 100 people as volunteers to push the cover to the ground # ShameOnICC https : //t.co/c31H5rY6PJ",NOT,NONE,NONE,2
113,113,hasoc_en_114,# IndianPsychiatricSociety stands by # IndianMedicalAssociation . Condemns # ViolenceAgainstDoctors # DoctorsFightBack # SolidarityWithNRSMCH # StopViolenceAgainstDoctors @ MamataOfficial https : //t.co/FIpSvBEdDb,NOT,NONE,NONE,2
114,114,hasoc_en_115,I urge every Indian to send mail to icc at enquiry @ icc-cricket.com with this image asking them why he can ’ t keep the logo on that glove ? # DhoniKeepTheGlove # DhoniKeepsTheGlove https : //t.co/OYP3eJcGCt,NOT,NONE,NONE,2
115,115,hasoc_en_116,@ realDonaldTrump @ StateDept @ SecPompeo Japan disagrees ... they saw something 'flying in ' and then hitting the boat . # TrumpIsATraitor https : //t.co/ADZvw82uZi,NOT,NONE,NONE,2
116,116,hasoc_en_117,@ DesiCryptoHodlr In # India the severity of punishment for Holding just # bitcoin is equivalent the <SWEAR-2> done by a # <SWEAR-0> or a # <SWEAR-2> Or # money Launderer or extortionist . Really amazed to see where we are Heading .,NOT,NONE,NONE,2
