,Unnamed: 0,text_id,text,task_1,task_2,label
2161,2161,hasoc_de_2162,Angela Schallers Thingkreis Themar…Drehtag am 17. April 2019 https://t.co/DXFp0LFPKr https://t.co/QpHzDs8ZUH,NOT,NONE,2
2510,2510,hasoc_de_2511,"ef:'Leinwandheld Kay Nielsen (1886-1957): Minimalistisch, seltsam, nordisch: Leinwandheld Kay Nielsen (1886-1957): Minimalistisch, seltsam, nordisch https://t.co/8apfiqTVSO '",NOT,NONE,2
100,100,hasoc_de_101,Ur-Großvater im Krieg gedient!  Großvater im Krieg gedient!  Vater und Schwiegervater im Krieg gedient. Teilweise viele Jahre in Gefangenschaft.     Für was?!   DAFÜR🤔...❓❗️:    ⁦@Mundaufmachen⁩  ⁦@AfD⁩   #UnserLandUnsereKultur https://t.co/RhIBXhXIfD,NOT,NONE,2
1105,1105,hasoc_de_1106,Glücklicher Libanese krümmt sich vor Lachen übe die (im wahrsten Sinne des Wortes grenzenlose) Dummheit der deutschen: Steuersklaven:  'Wir alle leben von Job-Center!' https://t.co/LJkblgzm0Z,HOF,OFFN,1
305,305,hasoc_de_306,Notre Dame brennt.  Die Welt ist erschüttert.  Muslime feiern.    Keine Pointe.😔,HOF,HATE,0
68,68,hasoc_de_69,",,..der Reporter...seinen Presseausweis [zückte] u sich mit einem Abstand von &lt; 20 cm vor dem Gesicht eines Beamten aufbaute. Er meinte nach Polizeiangaben, dass man ihm gar nichts könne, da er Journalist sei.'     ,,Polizei: Kein Benehmen trotz hohem Bildungsabschluss'  #ZDF https://t.co/3wbk8zh4V4",NOT,NONE,2
1721,1721,hasoc_de_1722,"Huch, Kim Jong Merkel, der Zonenlurch. https://t.co/8dbOgiKfBU",HOF,OFFN,1
1068,1068,hasoc_de_1069,"@Quadrateule @baerbeli04 @123korona Sehe ich auch so,   aber Verhütung ist haram.  Arbeiten für den eigenen Unterhalt scheinbar auch....",HOF,OFFN,1
2990,2990,hasoc_de_2991,"@Hartes_Geld @ibikus31 DANKE AN SCHEISS SPÖ, SCHWARZE ÖVP, FAYMANN, SPINDELEGGER BIS ES IHM SELBST ZU VIEL WURDE U GING, AN DIE GRÜNEN,, TRÄUMER,, UND BESONDERS DANKE AN MERKEL🐄(WEGN DER WIR ALLE MITMACHN MUSSTN!!!)..SEIDS STOLZ DRUF?!?!? HBE GENAU DESWEGN LEIDER MITTEL ZUM WEHREN AN/BEI MIR.. TRAURIG",HOF,OFFN,1
1624,1624,hasoc_de_1625,@Ungebeten1 Und heute ist ein EU-Preis nach dem Irren benannt ...    https://t.co/0KemoyzTBV,HOF,OFFN,1
324,324,hasoc_de_325,"Kramp-Karrenbauer findet, '2015 darf sich nicht wiederholen.'  Es wiederholt sich aber täglich! Jeden Monat wandert eine Kleinstadt nach D ein (ca. 15.000 Migranten). jeder wird auch passlos reingelassen, wenn er 'Asyl' sagt! Und alle bleiben! Wo leben Sie eigentlich Frau @akk?",NOT,NONE,2
1078,1078,hasoc_de_1079,"Ehrendoktor für eine 16-jährige Schulschwänzerin, die einen an der Waffel hat!  😂  Solche Aktionen wird man in Geschichtsbüchern mal nachlesen und sich wundern können, 'wie es bloß dazu kommen konnte'.  #Greta https://t.co/L7YFPfIuf7",HOF,OFFN,1
2838,2838,hasoc_de_2839,In Zeiten von #Multikulti und #Vielfalt müssen sowas schon mal aushalten...  #Toleranz   Ich geh mal kotzen... https://t.co/WS5496UcYN,HOF,PRFN,1
1122,1122,hasoc_de_1123,"Mit dem #StracheVideo beten durchgeknallte Medien einen 'Skandal' vor der #EUWahl herbei.  Die relevanteste Aussage findet man erstaunlicherweise im #SPIEGEL im Kleingedruckten:  'Beide betonen wiederholt, dass sie nichts Illegales tun werden'  https://t.co/tIHQMksoT1 https://t.co/nglRxkfXOm",NOT,NONE,2
2714,2714,hasoc_de_2715,"Da würde ich gar nicht lange fackeln. Ab nach Hause in die Heimat und da könnt ihr euren Glauben ausleben, so... https://t.co/I7EH2M88PZ",HOF,HATE,0
3573,3573,hasoc_de_3574,@FinjaFinte @AufgewachteWelt So könnte ich schreien. Metal hört man lauter als man schreien kann. Gutes Ventil dieser tage. https://t.co/5JEw0WRfSm,NOT,NONE,2
3083,3083,hasoc_de_3084,@Korrektheiten Der Schlußparagraph des Artikels bringt es auf den Punkt! https://t.co/W9vnqycqBJ,NOT,NONE,2
3583,3583,hasoc_de_3584,@FinjaFinte Diese 12 Frsuen... sind das „Flüchtlingshelferinnen“?,HOF,OFFN,1
2580,2580,hasoc_de_2581,"Ich werde ja nur deshalb kein Spitzenpolitiker, weil es vermutlich noch irgendwo Videoaufnahmen meiner Jugend aus dem Bronzekurs „Standardtänze“ gibt. Spätestens beim Foxtrott wäre eh alles aus.",NOT,NONE,2
1900,1900,hasoc_de_1901,"Wenn ihr jetzt so viele Irre seid, kriegt ihr dann alle auf einmal Ausgang oder wie regeln eure Pfleger das? 🤔  Ist schon eine organisatorische Meisterleistung, wenn die Psychiatrie geschlossen zum Wandertag ausrückt.  Respekt. https://t.co/y3Zx7HBBun",HOF,OFFN,1
3736,3736,hasoc_de_3737,"@Ungebeten1 @Ofenschlampe Söhne unmündiger Mütter  , eine Ehefrau von mehreren die geprügelt wird wenn sie ihr Recht fordert und nicht mehr als eine Gebärmaschine ist , deren.Söhne sind Hur....ne !!",HOF,PRFN,1
3792,3792,hasoc_de_3793,@BlondJedi @annewill Die Hierarchie der Opfer steht dem wohl einfach in Weg. 🤨,NOT,NONE,2
1996,1996,hasoc_de_1997,FU** the #Islam !! https://t.co/jsbcOWLO8T,HOF,HATE,0
3205,3205,hasoc_de_3206,"Sorry, aber dieser D… ist nicht mehr zu ertragen! 😢    Leichenhunde schlugen nicht an, als das Auto untersucht wurde… …Wer spielt denn im Kofferraum? Ohne Leiche kein Leichengeruch, lag Rebecca lebendig im Kofferraum?    https://t.co/xtoA7dRC4r    #findbecci #Rebecca #presse #bild",NOT,NONE,2
282,282,hasoc_de_283,"Sie suchten und fanden nichts, dann spielten sie, 'Verstehen Sie Spaß' mit Lockvogel etc., Ergebnis bekannt. Eine Kampagne der  BRD mit den linksrotgrünversifften Werkzeugen: DER SPIEGEL, SÜDDEUTSCHE ZEITUNG und ZFD NEO mit BÖHMERMANN, gegen, noch souveränes, Österreich. https://t.co/KgPOGmQo0M",HOF,HATE,0
1552,1552,hasoc_de_1553,Homosexuelle gegen #Islamophobia  Wo kommt nur die ganze Blödheit in #Europa her ?     Warum steigen solche Figuren nicht gleich in den Tigerkäfig und beweisen das der Tiger nur spielen will.     #Islamisierung #ReligionofPeace https://t.co/ykxL819g3I,HOF,OFFN,1
1965,1965,hasoc_de_1966,"'Große Unruhe': Niedergehobelte Radfahrer, Schüsse und lahmgelegte Autobahnen gehören bei türkischen Hochzeiten in #Deutschland einfach dazu!  https://t.co/Gfi36UkQy5",HOF,OFFN,1
1544,1544,hasoc_de_1545,#Salvini wirkt.  Prozess gegen migrantenfreundlichen Bürgermeister in Italien begonnen https://t.co/T6rt82AuyI,NOT,NONE,2
1618,1618,hasoc_de_1619,"@Ungebeten1 @MoebusAnne ....dieses verlogene, grünversiffte Pack von Lügner, Hetzern und Volksverdummern gehört der Prozeß gemacht. Natur vernichten ist ihr Handeln und Tun!",HOF,HATE,0
3040,3040,hasoc_de_3041,@Hartes_Geld WIE WÄRE ES MIT MÜLL SAMMELN AlS IMMER NUR DEMO,NOT,NONE,2
337,337,hasoc_de_338,@Polly20696833 Versteh ich. Wäre ich wesentlich älter würde ich zu 100% in D bleiben.,NOT,NONE,2
1728,1728,hasoc_de_1729,keine Fußball WM--da macht man es eben auf die andere Art 💩💩🤮🤮 https://t.co/IB05N0XR2Y,HOF,PRFN,1
2709,2709,hasoc_de_2710,"Contra-Mag.:Seyran Ates: „Der politische Islam übernimmt Deutschland“: Deutschland braucht eine radikale Kurswende in seiner Politik gegenüber dem Islam. Das sagt Seyran Ateş, prominente Frauenrechtlerin und Anwältin. Sonst drohe das Land vom politischen… https://t.co/GygOQKj5CW",HOF,HATE,0
3131,3131,hasoc_de_3132,"@Birdie51411736 @APatzwahl @and_smartie Genau! Das ist eine Verunglimpfung im höchsten Grade, da im Parlament geschehen!  Und was dort in den Reihen der Linken und Grünen für geistig unfähige Abgeordnete sitzen, hat man am Beifall gesehen, eine steht sogar auf👎Schäuble tat sich sichtlich schwer mit dem Ordnungsruf😡",HOF,OFFN,1
1184,1184,hasoc_de_1185,"Merkel wird den Deutschen doch noch erhalten bleiben, weil #Merkel die von ihr selbst eingesetzte Nachfolgerin #AKK für zu deppert hält.  https://t.co/POoGBbUsBQ @akk",HOF,OFFN,1
1982,1982,hasoc_de_1983,"@SteinbachErika @Steinhoefel, Stasifrau Kahane funktioniert nicht mehr? https://t.co/Tuc4WZLSpl",NOT,NONE,2
3093,3093,hasoc_de_3094,"🤬 So ein feiges Dreckspack! 🤬  „In dem Bus saßen keine gierigen Makler o Miet-Haie, sondern eine Gruppe krebskranker Menschen, die zu einer privaten Veranstaltung nach #Oberschöneweide unterwegs waren.'  #Antifa - Terror von LINKS!  #AfD💙  https://t.co/2EqV7oIUtA @DrDavidBerger",HOF,OFFN,1
382,382,hasoc_de_383,DFB Pokal Gewinnspiel: WIESENHOF: Werder-Expertentipp 29. Spieltag 18/19 https://t.co/Snk52SqUdi,NOT,NONE,2
3114,3114,hasoc_de_3115,"@dieneranton @pearwalts5 @Hartes_Geld @HaraldBecker80 @ichbinkoelnerin @willnurschreibn @66Norweger66 @burger_ein @RolandTichy @Birdie51411736 @Lebensformation @4Kolner @GudrunBecker11 @puffyka81 @NoctiDenktNach @Pegasia111 Libanesen? Vielleicht Hezbollah, die Merkel nicht als Terrororganisation ausweisen will, weil sie dicke fette Bankkonten haben u von Drogen u Geldwäsche leben, super macht das Deutschland.",HOF,OFFN,1
500,500,hasoc_de_501,"Liegt vielleicht daran, dass sie nicht qualifiziert sind! #facepalm https://t.co/T2KaLoIRFh",NOT,NONE,2
3702,3702,hasoc_de_3703,@realJohr Diese Form von Wahlkampfeinmischung aus dem Ausland geht scheinbar wohl klar. Sind ja immerhin keine Russen.,HOF,OFFN,1
2015,2015,hasoc_de_2016,#Migrationspakt von #Merkel wirkt. Immer mehr Sozialhilfetouristen aus #Afrika werden nach #EU eingeflogen. https://t.co/3cyUgLbOOD,HOF,HATE,0
3179,3179,hasoc_de_3180,Anwalt kostet Geld !  Gerichtsverfahren kostet Geld ! Diese Person kostet den Steuerzahler Unsummen !  Warum schiebt man so etwas nicht umgehend ab ? 🤔    Syrer belästigt und misshandelt fünf Frauen und Mädchen  https://t.co/bjG4kuLg9e via @staatsversagen,HOF,OFFN,1
1516,1516,hasoc_de_1517,"@worldwideto darf gerne geblockt werden, diese verdammte Meldedrecksau.  #HetzlichenDank",HOF,OFFN,1
3448,3448,hasoc_de_3449,https://t.co/OcicBpjYuc,NOT,NONE,2
1838,1838,hasoc_de_1839,"gleich mit Gretel Thunfisch 🤔🤔😂😂  Um so größer das Verbrechen , um so größer ihr Wert ! Da weiß man doch gleich in welchem Irrenhaus man gelandet ist . . . !😡😡 https://t.co/Bs9bPfO1MN",HOF,OFFN,1
1702,1702,hasoc_de_1703,die guten alten Zeiten👌👌  ein Mohr war eben noch ein Mohr👍👍  warum also was ändern was so lange eben schon normal ist🤔🤔 https://t.co/SBSMwDqXA7,HOF,OFFN,1
3229,3229,hasoc_de_3230,Ich habe ein Video zu einer @YouTube-Playlist hinzugefügt: https://t.co/YOOtg0bVoy 'Wählen wir die Idioten ab!' AFD TRAILER/TV SPOT,HOF,OFFN,1
2755,2755,hasoc_de_2756,"„Persönlich wird die Zehnjährige nach jetzigem Stand nicht mit #Rebecca's Eltern sprechen, weil die Mutter dagegen sei.“    Was es doch für herzlose Mütter gibt – Mein persönlicher Eindruck  Passt zu: Verrecke Du mieses Stück-Slogan von #GRÜNEN.😢  #findbecci  https://t.co/fIiPAznmrK",HOF,OFFN,1
3644,3644,hasoc_de_3645,"@realJohr Übel, da scheint eine kritische Masse erreicht. Vielleicht doch Putin? ^^",NOT,NONE,2
2664,2664,hasoc_de_2665,"Maria Ladenburger, Mia aus #Kandel Susanna F. könntn heute immer noch leben, könnten Kinder, Enkel &amp; Urenkel haben. Doch sie wurde durch die Bundesregierung um Jugend, Leben und Alter, um Freunde und Leid betrogen. Ihr bleibendes Vermächtnis: Nie wieder! und: Wehret den Anfängen! https://t.co/D9oWhho1pd",NOT,NONE,2
899,899,hasoc_de_900,"#Kassel 2 Nordafrikaner bedrängen 19 Jährige sexuell und begrapschen sie. Als sie sich zur Wehr setzt, prügeln und treten sie die 19 Jährige krankenhausreif   https://t.co/PvY6CoZ4Qr",NOT,NONE,2
1617,1617,hasoc_de_1618,"@Ungebeten1 @Ofenschlampe Volker Pispers: 'Mein Herr, sind Sie wirklich der Meinung daß jemand, der zu dumm ist für den Hauptschulabschluß das gleiche Stimmrecht haben sollte, wie Sie??'",HOF,OFFN,1
1579,1579,hasoc_de_1580,"🇩🇪 💙 👍 👍 👍 👍 Sehr gut, diesen türken muss man die Grenzen zeigen. ‼️ 💞 https://t.co/rv2Y0bHhwe",HOF,HATE,0
1830,1830,hasoc_de_1831,"Greta.... Wohl sitzen geblieben???😂😂😂 Na jetzt geht s los.... Mit riesen ozean pötten über den Teich und das Klima schützen.... 👍👍👍👍man, seid ihr Grünen und eure Wähler unterbelichtet.... Schlimmer als ich dachte..... https://t.co/UjXzmJdBOn",HOF,OFFN,1
3145,3145,hasoc_de_3146,"@Hartes_Geld Die grüne Vollverblödung, sitzt ja auch im BT.Die haben es geschafft sich ihren eigenen dusseligen Nachwuchs zu züchten.",HOF,OFFN,1
3312,3312,hasoc_de_3313,"In sämtlichen Ländern der islamischen Welt gibt es Parteien, die mit der Muslimbruderschaft verbunden sind. In Ländern wie der Türkei, Tunesien oder Gaza sind sie sogar in der Regierung. Und in einigen Ländern haben sie auch immer wieder Gewalt angewendet. Ein Überblick: https://t.co/3Yw5sWMXIn",NOT,NONE,2
286,286,hasoc_de_287,"@KrahMax Habe gestern plakatiert gesehen, dass Sie mein Kandidat sind hier in Sachsen und selber Landsmann. Werde Sie aus Überzeugung wählen; sah Sie neulich gegen '....ska' Grüne https://t.co/Vu8MRpa43N",NOT,NONE,2
2298,2298,hasoc_de_2299,"@VenomStrike3 @ITUADE @Dieter_Stein @AfD Meinen Sie wirklich, die stolzen jungen Männer die jetzt zu uns kommen haben Interesse an diesen harten Jobs? Es gibt doch längst negative Erfahrungen mit Versuchen, Lehrstellen selbst im Handwerk zu vermitteln.",NOT,NONE,2
437,437,hasoc_de_438,"Lange galt es als rechtes Gerücht: Flüchtlinge, die per Flugzeug nach Deutschland kommen. Dann kam heraus: Ein Drittel aller vom BAMF befragten Flüchtlinge gibt an, mit dem Flugzeug eingereist zu sein. Nun hat die Regierung die Zahlen als geheim eingestuft https://t.co/WxhoBoJoPQ",NOT,NONE,2
1383,1383,hasoc_de_1384,🐷🐽'PRO CHEMNITZ🐖🐽🐷🐖🐽🐷🐖🐽🐷 Mitstreiter wurden nach der heutigen Demonstration von Asylbewerbern mit Messern angegriffen'. 😡  https://t.co/bFQ3V1YKOj,HOF,PRFN,1
3708,3708,hasoc_de_3709,@Ungebeten1 @Invictu53409591 Guck dir mal die GayPride-Paraden an. Dort nehmen die alle möglichen Drogen und laufen fast nackt rum und benehmen sich wie Irre. Irgendwie ist es schwierig einen normalen Homosexuellen zu finden. Die sind alle geistesgestört. Darum will man mir denen nichts zu tun haben.,HOF,HATE,0
861,861,hasoc_de_862,Komisch 🤔 wann endlich werden die #Fridays4Future Kinder auf ihrer Smartphones verzichten?    Die #Ökobilanz des Internets.    Mit 20 Google-Suchanfragen brennt eine Energiesparlampe 1 Stunde lang.    Ich fordere ein #InternetVerbot für hüpfende #DummMenschen!    https://t.co/a3thKb6OXA,HOF,OFFN,1
1483,1483,hasoc_de_1484,#Grüne stärkste Kraft in #Berlin. 🤢🤮  Links-Grün ist out. Grün-links ist in.  Noch mehr Verbote. Noch weniger Wirtschaft.  Vielen dank ihr Vollpfosten...  #EUWahl19,HOF,OFFN,1
779,779,hasoc_de_780,"Das Land der Dichter und Denker, das war einmal....    Vielleicht weniger Gretel und 'Fridays for future' und dafür mehr Mathe und Deutsch? Nur so ne Anregung.    https://t.co/sXxzrewnHE",NOT,NONE,2
912,912,hasoc_de_913,"@michel_brandt_ Ist das alles, was Sie an konstruktiven Beiträgen im Bundestag zu bieten haben? Mann oh Mann. Das ist so platt, das kann jedes 5-jährige Kind. Sorry, aber da geht mir einfach der Hut hoch. Im Bundestag und nicht auf dem Spielplatz!",HOF,OFFN,1
3090,3090,hasoc_de_3091,L.E.S.E.B.E.F.E.H.L.    Wohin führt die massenpsychotische Verklärung der Grünen?    https://t.co/C4t8HRwYWz,HOF,OFFN,1
1520,1520,hasoc_de_1521,"Berlins grüner Justizsenator Behrendt...  Mehr muss man nicht wissen.  Der soll lieber nachsehen, ob seine Häftlinge in Moabit vollzählig sind und seinen Sauladen auf Vordermann bringen, da hat er genug Arbeit! https://t.co/M6kCPrtjrW",HOF,OFFN,1
2432,2432,hasoc_de_2433,WsK 73: Thema: Deutsche Polizei – “Deutsche” Justiz https://t.co/5xxSGaMWxO https://t.co/cRgoUtxlPP,NOT,NONE,2
3587,3587,hasoc_de_3588,@FinjaFinte @Ofenschlampe Ja..die wollen doch rotrotgrün...so isses halt dann....alles geht nicht...auch nicht im grünrotromantischen kosmos,HOF,PRFN,1
1736,1736,hasoc_de_1737,ab morgen bei den Friday for no Hirn Demos 🤔🤔     Scheissen für die Umwelt 👍👍👍 https://t.co/VzPNlj4zrj,HOF,PRFN,1
1367,1367,hasoc_de_1368,Unbekannte haben den Kasseler Regierungspräsident Walter #Lübcke durch einen Kopfschuss ermordet. Dazu evt. interessant: auf dem rassistischen Blog 'PI-News' (#München) war neben Morddrohungen gg. Lübcke auch mehrfach die Privatanschrift veröffentlicht worden. Meine Screenshots: https://t.co/KXK9K6QSPU,NOT,NONE,2
1649,1649,hasoc_de_1650,"Beschreibe 'beliebt'!    Wenn mir pausenlos von Menschen auf die Schultern gehauen wird, die zu dumm sind, sich selbst die Schuhe zuzubinden, mich eine gigantische ideologisierte Klimaprofiteur-Industrie pausenlos pusht und unfähige Politiker mit Denkverboten mich hofieren... https://t.co/6gWO50VGu4",HOF,OFFN,1
1112,1112,hasoc_de_1113,"Ischias-geplagter 'EU-Chef' #Juncker junkert sich in den Endspurt zur #EUWahl:  'Alle, die ihr Land lieben, sind dumm', stammelt der sympathische Alkoholiker.  😂  https://t.co/zl3XM2Na41",HOF,OFFN,1
1075,1075,hasoc_de_1076,"Passiert, wenn man sich nicht abspricht.  SWR-Artikel vom 29.5.2019  Tagesschau vom 04.06.2019 https://t.co/KHxqVpA1Dj",NOT,NONE,2
452,452,hasoc_de_453,"@MartinHolubek3 @StBrandner Und dann entsteht ein Widerspruch zum oben zitierten Paragraphen, das war der Punkt.",NOT,NONE,2
1791,1791,hasoc_de_1792,SPD: Andrea Nahles kündigt Rücktritt als Partei- und Fraktionschefin an  Wird sie jetzt Rummelboxerin🤔🤔😂😂  da kann sie ja dann dort vielleicht  vielen paar uff die Fresse hauen was ja in Berlin nicht klappte  eine der schlechtesten aus der Politik geht‼️‼️  UND DAS IST GUT SO👍👏 https://t.co/J6rfh3EWTQ,HOF,PRFN,1
1967,1967,hasoc_de_1968,"Ich verstehe die Aufregung um #Brunei nicht: Der Sultan versichert doch, dass die #Scharia strikt eingehalten wird.  Außerdem urteilen nur Männer von „hohem moralischem Rang und Frömmigkeit“ über die Steinigung von Schwulen.  https://t.co/xIFoNSojiN",HOF,OFFN,1
2919,2919,hasoc_de_2920,@Uwe_Junge_MdL https://t.co/LNKYgFfSCm,NOT,NONE,2
1707,1707,hasoc_de_1708,"Da fällt mir ein, ich brauche frisches Waffenöl...😂😂😂 https://t.co/hTYUUoO4oF",NOT,NONE,2
2837,2837,hasoc_de_2838,"Irgendwie scheint der Islam nicht so richtig zu Deutschland zu gehören, wenn ein ICE wegen Koranversen gestoppt wird https://t.co/MIteoSZW70",HOF,OFFN,1
1531,1531,hasoc_de_1532,"@Ungebeten1 @93cecc58ff2e400 „.. . Ein Gruß ohne Hass, Ausgrenzung und Stigmatisierung ...“, solche Armleuchter und Heuchler 🤮! Wer hat mit Hass, Hetze, Halbwahrheiten und verdrehen von Meinungen angefangen? Jede Kritik wurde in die rassistische Ecke gestellt bzw. derjenige als NAZI beschimpft 🤢",HOF,OFFN,1
1572,1572,hasoc_de_1573,@Ungebeten1 @StoergroesseM @0Siegfried @Twitter Anani ist irgendwas mit mutter und sikerim irgendwas mit ficken. Aber so gut ist mein türkisch auch wieder nicht. 🤷‍♂️,HOF,PRFN,1
771,771,hasoc_de_772,Krankes Land! https://t.co/PdprixVVqN,NOT,NONE,2
1362,1362,hasoc_de_1363,Schweden zeichnet  Greta Thunberg als wichtigste Frau des Jahres aus. Unsere Bessermenschen freuen sich. Warum?   🔹Ein Kind wird als Frau bezeichnet - Pädos bei Grünen+bestimmter religiöser Gruppe freuen sich   🔹Sie befeuert die Klima-Hysterie   🔹Sie ruft zum Schulschwänzen auf,HOF,OFFN,1
1055,1055,hasoc_de_1056,"Die grünen sind eine Pädophilenpartei, das waren sie und sind es heute auch noch https://t.co/hyoPbO36ow",HOF,OFFN,1
2311,2311,hasoc_de_2312,Unzensuriert:Kunstprojekt mit Bäumen verhindert Europacupspiel im Wörthersee Stadion: Wörthersee Stadion Foto: Steindy / Wikimedia (CC BY-SA 2.0) Man stelle sich Folgendes einmal vor: Der Wiener Traditionsverein Rapid schafft die Teilnahme am Europacup… https://t.co/qetAH5Nzn0,NOT,NONE,2
2917,2917,hasoc_de_2918,@Uwe_Junge_MdL das dauert nicht lange an...bald werden die ersten merken das sie einem kranken panst aus Schweden auf den Leim gegangen sind.der wahrscheinlich gerade zur psychiatrischen Behandlung im Tollhaus sitzt.,HOF,OFFN,1
98,98,hasoc_de_99,"@lawyerberlin @Lebensformation ich nenne jeden einen Barbaren, der aus religiösem Fanatismus Musikinstrumente zerstört. Wobei Barbar noch sehr milde ist.    VOR ALLEM DIE VOLLIDIOTEN, DIE ORGELN ZERSTÖREN!!     Und überhaupt Kirchenzerstörer!",HOF,OFFN,1
3353,3353,hasoc_de_3354,"Wie Links- und Ökofaschisten alles zu Grunde richten.. In Berlin scheitert die Schulsanierung daran, dass kein Bau-Unternehmen geisteskranke Forderungen wie einen 'Frauenbeauftragten' erfüllen will...  https://t.co/Xoqu4OuoQy",HOF,PRFN,1
1100,1100,hasoc_de_1101,"Haben Medien, die diesen #Rezo hochjazzen, seine Ergüsse eigentlich angeschaut (und verstanden)?  Falls nicht, sind sie dumm.  Falls ja, sind sie Beitragstäter.  #RezoVideo https://t.co/2yqvJDlTLo",HOF,OFFN,1
2960,2960,hasoc_de_2961,"@Hartes_Geld Nur in der Gruppe, sind diese Schmarotzer stark. Diese müssen aus dem Land geprügelt werden.",HOF,OFFN,1
343,343,hasoc_de_344,"Was mit unseren Steuern passiert ist einfach Wahnsinn!  Soll man in D bleiben bzw. den Wahnsinn weiter unterstützen?  Bundeshaushalt macht 12,8 Milliarden € Plus!   Scholz: 11,2 Milliarden € (!) könne als Rücklage für Flüchtlingskosten zugeführt werden!   https://t.co/GFk2t9cS4D",NOT,NONE,2
1713,1713,hasoc_de_1714,DEUTSCHLAND BRAUCHT ZUWANDERUNG😂😂😂😂  was ja bis jetzt gekommen ist sind ja nur Freunde und Bekannte die wollen ja alle auch nur Studieren--also nix Hände schmutzig machen💩  dann her mit der nächsten Welle aus der Wüste die gut Teppiche ficken ehmm sorry flicken können👌👌 https://t.co/d4WoZI3TEo,HOF,OFFN,1
3091,3091,hasoc_de_3092,"'Die Kairoer Erklärung der Menschenrechte ist völliger Humbug.  Es gibt im #Islam keine #Menschenrechte!'  'Wenn Sie das nicht verstehen, dann haben Sie keine Ahnung, was #Menschenrechte sind'.  Dr. Michael Ley in der Expertenanhörung im Arbeitskreis #Menschenrechte des Bundestages. https://t.co/txdkCEadL7",HOF,HATE,0
481,481,hasoc_de_482,"Sind SIE der Meinung, dass die Familienpolitik der Regierung mangelhaft ist?    ➡ ️Die Antwort heißt: #AfD https://t.co/bZH3S75kTq",NOT,NONE,2
2829,2829,hasoc_de_2830,Interne Dokumente der #Polizei #Düsseldorf: Sexuelle Übergriffe in Badeanstalten nehmen zu #Multikulti #Vielfalt  https://t.co/JQTPSUj9UG,HOF,OFFN,1
2933,2933,hasoc_de_2934,@Hartes_Geld Drecks Hurenkinder Pack.,HOF,PRFN,1
1749,1749,hasoc_de_1750,Es geht um 900.000 Euro: Großer Carsharing-Betrug bei der Bundeswehr    Na haben wir ja lange nichts mehr von unserem Liebling von der Leichen gehört  die wird Gott danken für die Klimadebatte😡😡👍👍  die kann so ungestört am Stuhl kleben bleiben-Machterhalt um JEDENPreis🤮 https://t.co/FofetWjjJk,HOF,PRFN,1
