,Unnamed: 0,text_id,text,task_1,task_2,label
2492,2492,hasoc_de_2493,"Meine Rede zur Taschengelderhöhung auf 150€ für ausreisepflichtige Asylbewerber. Wer will noch leben wie Gott in Frankreich, wenn er als Asylbewerber in Deutschland leben kann?    https://t.co/L4gGQDmjbR",HOF,HATE,0
1149,1149,hasoc_de_1150,"Kinder werden zu Denunzianten erzogen und gegen Eltern aufgehetzt: Wenn sie #Klima-Sünden der Eltern aufdecken, winkt zur Belohnung der 'Klima-Führerschein'.  https://t.co/Tbpxlcz9e8 #Klimaspinner",NOT,NONE,2
3019,3019,hasoc_de_3020,"@Hartes_Geld @ibikus31 solche SATANSBRATEN!! haut doch ab und kämpft in EUREN Ländern im KRiEG für eire frauen, eure land usw und NICHT unschuldige die NIX getan haben!!! od genießt den Frieden weshalb ihr ja angeblich her kommen seids und BENEHMT euch wie MENSCHEN und NICHT wie TIERE!! 😡😠😡😠😡😠",HOF,OFFN,1
2095,2095,hasoc_de_2096,"Albert Schweitzer über die afrikanische Herrenrasse…”Nie Sie als sozial Gleichgestellte akzeptieren, oder sie werden Dich fressen. Sie werden Dich zerstören.“ https://t.co/RXZQKxV3bw https://t.co/wkjqxrZyvo",NOT,NONE,2
2486,2486,hasoc_de_2487,"In der Hölle sitzt Erich Mielke und weint bitterlich. Die Kapitalisten haben alles, wovon er immer träumte, und die Leute holen es sich sogar freiwillig in die Wohnung. #Alexa",NOT,NONE,2
1967,1967,hasoc_de_1968,"Ich verstehe die Aufregung um #Brunei nicht: Der Sultan versichert doch, dass die #Scharia strikt eingehalten wird.  Außerdem urteilen nur Männer von „hohem moralischem Rang und Frömmigkeit“ über die Steinigung von Schwulen.  https://t.co/xIFoNSojiN",HOF,OFFN,1
2342,2342,hasoc_de_2343,"Afrikas Bevölkerung wird sich bis 2050 verdoppeln. Reicht das, um an eine Invasion aus dem Süden zu glauben?! Was helfen könnte, ist endlich Geburtenkontrolle zu fördern! Dafür bräuchten wir Experten, die können sich dann nennen, wie sie wollen! #afd https://t.co/szilUy4dmJ",HOF,HATE,0
1996,1996,hasoc_de_1997,FU** the #Islam !! https://t.co/jsbcOWLO8T,HOF,HATE,0
1947,1947,hasoc_de_1948,Frei nach Georg Orwell     https://t.co/2DiNa1YLQs,NOT,NONE,2
2003,2003,hasoc_de_2004,Hier ist die Ursache von den Selbstmordattentaten kurz erklärt.     72 Jungfrauen im Paradies sind von Allah verheißen. https://t.co/4wnYYXqjS3,HOF,HATE,0
2281,2281,hasoc_de_2282,"Guten Morgen 🇩🇪!  Der vermutliche Plan der Kanzlerdarstellerin, den unsäglichen #Migrationspakt  sowohl unter dem Radar der Öffentlichkeit als auch ihrer eigenen Partei  durchsegeln zu lassen, ist dank der Aufklärungsarbeit der #AfD krachend gescheitert.  ➡️ https://t.co/0v8J2a7M14 https://t.co/w0QfyVvLvV",NOT,NONE,2
2310,2310,hasoc_de_2311,DWN: Europas Banken kommen mit Abbau fauler Kredite langsam voran: Der Anteil ausfallgefährdeter Kredite in den Bilanzen europäischer Banken sank zwischen 2017 und 2018 spürbar. In einigen Ländern existieren aber noch immer hohe Risiken. https://t.co/BX8BzwpUtW,NOT,NONE,2
3327,3327,hasoc_de_3328,"Wenn Negerkinder Kobalt schürfen  Und #Grüne grinsend Grüntee schlürfen  Wenn E-Busse beim Laden stehn  Fahrgäste in die Röhre sehn  Dann wissen alle, die nicht dumm  Wir sind im #Reichhauptstadtslum.  https://t.co/FaAe5teAcE",HOF,HATE,0
3131,3131,hasoc_de_3132,"@Birdie51411736 @APatzwahl @and_smartie Genau! Das ist eine Verunglimpfung im höchsten Grade, da im Parlament geschehen!  Und was dort in den Reihen der Linken und Grünen für geistig unfähige Abgeordnete sitzen, hat man am Beifall gesehen, eine steht sogar auf👎Schäuble tat sich sichtlich schwer mit dem Ordnungsruf😡",HOF,OFFN,1
3678,3678,hasoc_de_3679,@realJohr Wie bereits erwähnt: Hetzkrähe.,HOF,PRFN,1
2752,2752,hasoc_de_2753,Pädophilie: Der alltägliche Missbrauch in einer grünen Kommune! Da wird einem nur noch schlecht! https://t.co/iOiWa7vc4C via @welt,HOF,HATE,0
1255,1255,hasoc_de_1256,"Donald #Trump zieht das echt durch: Er stopft iIlegale und kriminelle #Migranten in Shithole-Städte, die von Bunten ('Demokraten') regiert werden!  😂  👍 https://t.co/WEZpCUrzkM",HOF,HATE,0
1023,1023,hasoc_de_1024,Eva Herman: Ihr seid Idioten! https://t.co/KMvJxRPAvj,HOF,PRFN,1
1510,1510,hasoc_de_1511,"Schwul sein ist keine Krankheit. Es ist pervers. Aber für Linke, Rote und Grüne ist Sex mit Kindern und Tiere auch nicht so abwägig. Der Vatikan hat diese Woche klargestellt, dass es nur Mann und Frau gibt. https://t.co/GD06xUJerA",HOF,HATE,0
2939,2939,hasoc_de_2940,"@Uwe_Junge_MdL Dann kommen sicher noch mehr Messerfachkräfte, die alte wehrlose Menschen abstechen, wenn sie mal schlecht drauf sind. Ist doch schon so passiert. Die verachten und hassen uns Christen, Junge wie Alte und machen daraus selten einen Heel.",HOF,OFFN,1
1362,1362,hasoc_de_1363,Schweden zeichnet  Greta Thunberg als wichtigste Frau des Jahres aus. Unsere Bessermenschen freuen sich. Warum?   🔹Ein Kind wird als Frau bezeichnet - Pädos bei Grünen+bestimmter religiöser Gruppe freuen sich   🔹Sie befeuert die Klima-Hysterie   🔹Sie ruft zum Schulschwänzen auf,HOF,OFFN,1
760,760,hasoc_de_761,"»Wenn die Fahne des ☪️ Halbmondes steigt, wird die Fahne des 🏳️‍🌈 Regenbogens brennen!«  Aktuelle Stunde im #Bundestag zu Maßnahmen gegen Homo- &amp; Transfeindlichkeit - Rede der stellv. #AfD-Fraktionsvorsitzenden @Beatrix_vStorch.  ℹ️ https://t.co/nOLcSTB9jg  🎬 https://t.co/x6GRyR1KN2 https://t.co/MRRzXfoMPw",HOF,OFFN,1
2506,2506,hasoc_de_2507,"DWN: Autobauer: Riskante Wetten auf einen Durchbruch der Elektromobilität: Einer Analyse zufolge setzen viele Autobauer alles auf die Karte Elektromobilität. Selbst wenn diese riskante Wette aufgehen und der Durchbruch zur E-Mobilität gelingen sollte,… https://t.co/TZwOusCTS4",NOT,NONE,2
3725,3725,hasoc_de_3726,"@Ungebeten1 @landhaustussy Anders kannste mit dem Türken auch garnicht reden,... und abgefüllte Vollscheisse Ballons hat nicht nur Europa in Unmassen.",HOF,HATE,0
1676,1676,hasoc_de_1677,einfach mal die Seele baumeln lassen👌👌 https://t.co/BoJEic8fhg,NOT,NONE,2
3583,3583,hasoc_de_3584,@FinjaFinte Diese 12 Frsuen... sind das „Flüchtlingshelferinnen“?,HOF,OFFN,1
2313,2313,hasoc_de_2314,ef:'Öko-Totalitarismus: Auf dem Weg zum grünen Ermächtigungsgesetz?: Öko-Totalitarismus: Auf dem Weg zum grünen Ermächtigungsgesetz? https://t.co/VitVfAiUtk ',HOF,HATE,0
2300,2300,hasoc_de_2301,"PI: Jetzt flüchten sogar die Venezolaner nach Europa Deutschland 2019: Mehr Zuwanderung – mehr Nebenwirkungen: Von EUGEN PRINZ | Die Human-Golfstrompumpe namens Zuwanderung, die Menschenmassen aus aller Herren Länder nach Süd- und Mitteleuropa schaufelt,… https://t.co/UdbbBdKtgK",HOF,HATE,0
2198,2198,hasoc_de_2199,"Von Stasine generierte Wohnungsnot, die Kausalität mit offenen Grenzen wird nicht angesprochen.     &lt;p&gt;Erika Steinbach: &lt;/p&gt;Es ist die Wohnungsnot der Kanzlerin https://t.co/96LtecLJnc via @Deutschland-KURIER",NOT,NONE,2
428,428,hasoc_de_429,"Interessant, wie die linke Trollbrigade bei meinem letzten Tweet aufheulte und ihre dumpfen Kommentare erbrach.    Die sind wirklich zu #linksblöd, den Unterschied von Rechtspopulisten und Nationalsozialisten wahrzunehmen und ohrfeigen damit alle NS- und Holocaustopfer!  🤦🏼‍♂️",HOF,HATE,0
2423,2423,hasoc_de_2424,"Das Zerreißen des Korans in Bremen war dem @ZDF einen 6-Minuten-Beitrag im Heute-Journal wert. Die 9-Jährige, die in #Dessau von einem 'Flüchtling' aus dem Niger vergewaltigt wurde, kam nirgendwo vor.",HOF,HATE,0
1978,1978,hasoc_de_1979,14 Jahre lang 'Morbus Merkel'; da hilft nur Prof. Meuthen mit der alternativen Medizin für Deutschland. https://t.co/2tixyUeC3T,NOT,NONE,2
2732,2732,hasoc_de_2733,#taharrushgamea im Zug. Wieder wird Mädchen von Migranten sexuell genötigt. Sie stritten sich regelrecht um 'Beute' https://t.co/rye9v8n05J,HOF,HATE,0
2559,2559,hasoc_de_2560,"MMNews: Hartz IV und Spaß dabei: Im Internet kursiert ein Video eines mutmaßlichen Clan-Mitglieds, das sich über das Jobcenter lustig macht. Voller Stolz zeigt er Auto samt Inhalt - gearbeitet hat er offenbar nicht dafür... Read more... https://t.co/WCYOKYSZAV",HOF,HATE,0
3712,3712,hasoc_de_3713,"@Ungebeten1 Zukunft ohne Kohle, die kleinen bekloppten Scheißer💩. Dann aber auch ohne Smartphone, Mamis SUV und Flugreisen, auch Deutschland war mal schön, vor der Invasion🧐",HOF,PRFN,1
1056,1056,hasoc_de_1057,😡🤮😡🤮😡🤮😡🤮😡  POL-HH: 190611-2. Zeugenaufruf nach gefährlicher Körperverletzung in Hamburg-St. Georg https://t.co/NvpDjGINsC #ots,HOF,PRFN,1
2202,2202,hasoc_de_2203,"Pack schlägt sich....Bei dem Polen würde es mir auch in den Fingern jucken, aber ich bin ja kein Prolet, ich habe Argumente, die sind schärfer als alle Waffen.    Schläge ins Gesicht: Lewandowski und Coman prügeln sich im Training https://t.co/Ky0nXxb85S",HOF,HATE,0
3122,3122,hasoc_de_3123,"@DPolGBund Höchstens anti-islamistisch. Und wenn, dann zurecht!  Denn die hassen und bekämpfen Christen, Deutsche, Europäer, Ungläubige!    Ihr braucht nur die Augen aufzumachen. Und nicht vergessen was euer eigentlicher Job ist. Ihr seid keine Bodyguards für Fanatiker und Intensivtäter.",HOF,HATE,0
438,438,hasoc_de_439,"Medien und Linksgrüne jammern, dass nun auch ihnen konforme Accounts und Meinungen von Twitter gesperrt bzw. verwarnt werden. Tröstet euch, genauso wird euch eure 'alle rein' Mentalität um die Ohren fliegen und ihr werdet auch bereichert werden.  #NetzDG  #Twittersperrt",HOF,HATE,0
1617,1617,hasoc_de_1618,"@Ungebeten1 @Ofenschlampe Volker Pispers: 'Mein Herr, sind Sie wirklich der Meinung daß jemand, der zu dumm ist für den Hauptschulabschluß das gleiche Stimmrecht haben sollte, wie Sie??'",HOF,OFFN,1
2048,2048,hasoc_de_2049,Nicht mehr nachvollziehbar. In #Kamerun ist weder Krieg noch gibt es eine strukturelle Verfolgung bestimmter Gruppen. #Asyl nur für echte Schutzbedürftige. #Deutschland weitet Asylschutz auf alle Menschen mit Teint auf aus? Zum Schaden der Bürger. #Merkel Wahn stoppen. #CDU #AFD https://t.co/UE10FMxZXd,NOT,NONE,2
3369,3369,hasoc_de_3370,"#Juncker 1999:„Wir beschließen etwas,stellen es in den Raum u warten ab, was passiert.Wenn es kein großes Geschrei gibt u. keine Aufstände,weil die meisten gar nicht begreifen, was da beschlossen wurde,machen wir weiter - Schritt für Schritt, bis es kein Zurück mehr gibt.“ #EU https://t.co/jVIic9B6RM",NOT,NONE,2
3073,3073,hasoc_de_3074,"@Hartes_Geld @SoliDavidwache Also bloße Kritik an Mitbewohnern macht noch keinen Nazi aus. Das die nicht aus der Nase gezogen ist, war ja offensichtlich. Zudem erkennt man ja an Gestik und verbalen Reaktionen der Zigeuner was für ein Agressionspotential vorhanden ist.",HOF,OFFN,1
2285,2285,hasoc_de_2286,"Kann ich mir gar nicht vorstellen. Merkel hat uns doch versprochen, dass er total unverbindlich sein wird. Und dass sie lügt, halte ich für völlig ausgeschlossen https://t.co/HWvT7eR8g3 #Migrationspakt #Merkel #Migration #Lüge #Merkeldiktatur",HOF,HATE,0
114,114,hasoc_de_115,"@JoanaCotar @Notabaris @Die_Gruenen @GoeringEckardt Die meisten Grünen wären zu dumm, eine Würstchenbude erfolgreich zu betreiben. Aber sie wissen natürlich genau, was Konzerne zu tun haben. Der Standort Deutschland wird scheibchenweise ruiniert.",HOF,OFFN,1
3584,3584,hasoc_de_3585,@FinjaFinte @Deutschland_77 Die Schweden werden ihr Flüchtlingsbesoffenheit bitter bereuen.,HOF,HATE,0
2071,2071,hasoc_de_2072,"Chebli wird im Auto von arabischem Polizisten angehalten.  'Alde, Führerschein'?  'Was ist das?'  'Das ist was mit Bild von dir drin!'  Chebli reicht ihm ihren Chanel-Taschenspiegel.  Er guckt rein. Sagt dann:  'Oh, isch wusst nicht dass du auch vom Polizei bischt Brudi!'  #chebliwitze",HOF,OFFN,1
548,548,hasoc_de_549,Ab Juli: #Diätenerhöhung für #Bundestagsabgeordnete https://t.co/EfDsc3RBKb via @focusonline,NOT,NONE,2
1496,1496,hasoc_de_1497,"'Man kann sich nicht darauf verlassen, dass das, was vor den Wahlen gesagt wird, auch wirklich nach den Wahlen gilt' - Angela #Merkel, 2008     'CDU ist Vertrauen' ... 😂",NOT,NONE,2
1736,1736,hasoc_de_1737,ab morgen bei den Friday for no Hirn Demos 🤔🤔     Scheissen für die Umwelt 👍👍👍 https://t.co/VzPNlj4zrj,HOF,PRFN,1
1183,1183,hasoc_de_1184,"Snowflake @Olivia_Frey55 ist fassungslos: Der Nazi, Hartes_Geld, ist immer noch nicht gesperrt und wird jetzt sogar belohnt!  😂  https://t.co/lHRSsmhV7N https://t.co/Za8YpmuRf6",HOF,OFFN,1
2538,2538,hasoc_de_2539,"@suse1603 @EmmanuelMacron Weil wir uns überall klar GEGEN Gewalt und für friedlichen Protest aussprechen? Vergessen Sie es einfach, Ihre linke Dauerhetze glaubt Ihnen niemand. Gewalt und brennende Autos sind in Deutschland eher Sache Ihresgleichen!",HOF,HATE,0
2747,2747,hasoc_de_2748,Das ist Achmed. Achmed ist #Istanbul-Terrorist und Mehrfachmörder. Früher war Ahmed Flüchtling in Österreich.  #NurSo https://t.co/Mb2vs4Yjsj,HOF,HATE,0
2630,2630,hasoc_de_2631,"Wie immer steht @SPIEGELONLINE  treu zu seinen Freunden beim Rassistenverein BDS, es ist fast schon rührend.    https://t.co/lTf5Cg8ZZN",HOF,HATE,0
613,613,hasoc_de_614,Die #AfD in Rheinland-Pfalz hat nun 2300 Mitglieder!,NOT,NONE,2
587,587,hasoc_de_588,Unfassbarer Treuebruch gegenüber den eigenen Beamten! Rückhaltlose Aufklärung und Entschädigung! https://t.co/oYOPcuvYmP,NOT,NONE,2
1742,1742,hasoc_de_1743,Had to share this one🤣🤣👍👍    die Amis sind eben und waren es schon immer saublöd👍👍  wenn interessiert schon solche Hohlbirnen ala Kardashians🤔🤔 https://t.co/ECgcJBC9J2,HOF,OFFN,1
2713,2713,hasoc_de_2714,Funktionäre des isl. Zentrums in HH organisieren bis heute Quds Tag mit-  egal Olaf Scholz chillt da mit Ayatollahs. https://t.co/KPdYbddVIB,HOF,HATE,0
2616,2616,hasoc_de_2617,"Der letzte Fußball, das Areal der RWE-Abbrucharbeiter und die Zerstörung. Ein Dorf mitten in Deutschland, dass aufgegeben wird. #Manheim https://t.co/AQUrgqjQH8",NOT,NONE,2
1999,1999,hasoc_de_2000,leben tausend Jahre zurück kennen es nicht anders . Die würden sich nie Integrieren  Unter mir wohnt so eine wenn die Kocht kommt das alles durch meine Lüftung das stingt widerlich ..Frag mich manchmal was die wohl im Kochtopf hat ..Flüchtling kein Wort deutsch fragen geht nicht https://t.co/MCrCEQr6HK,HOF,HATE,0
2004,2004,hasoc_de_2005,"Stechender Angriff in #Jerusalem auf Video    Dank der Regierung, dass jetzt viele von ihnen unter uns sind und sie offiziell an Al_Kuds Demonstration teilnehmen dürfen, die darauf abzielt, Israel zu zerstören. https://t.co/QiOWZSdKi5",NOT,NONE,2
3742,3742,hasoc_de_3743,"@Ungebeten1 @BundesGockel Der Neger kann froh sein, dass ich nicht der Vater des Kindes bin...",HOF,HATE,0
1328,1328,hasoc_de_1329,"Herr @MPKretschmer!     Wenn Sie mal wissen wollen wie Politik geht, schneiden Sie sich mal ne Scheibe von Ihrem Kollegen ab, statt die Demokratie mit wirren Koalitionsgedanken sturmreif schießen zu lassen!     'Die AfD hat nirgendwo eine Vormachtstellung“ https://t.co/bbB8i6h8ye",NOT,NONE,2
2728,2728,hasoc_de_2729,Alle feiern und die Linken legen Brände. Die linke Szene bekommt mit ihren Taten keine Anerkennung der Bevölkerung!  https://t.co/d5eDZpFKX2,HOF,HATE,0
1550,1550,hasoc_de_1551,"Wir Männer..... Was wir uns so alles rausnehmen!    Wenn es euch stört, liebe Damen, dass Männer bei den von ihnen mitgezeugten Föten mitreden wollen, dann lasst die Männer nicht rein! So einfach ist das Leben! https://t.co/kGIC6sfsji",NOT,NONE,2
1814,1814,hasoc_de_1815,klasse Handy😂😂👍 https://t.co/Ay4v6XvODP,NOT,NONE,2
2733,2733,hasoc_de_2734,"Ich wusste nicht, dass #Mohammed ein Volk ist? #Volksverhetzung https://t.co/yKcGQ6dFsn",HOF,HATE,0
1721,1721,hasoc_de_1722,"Huch, Kim Jong Merkel, der Zonenlurch. https://t.co/8dbOgiKfBU",HOF,OFFN,1
2028,2028,hasoc_de_2029,Muslime steinigen Frau. Das ist nicht 'rechts' sonder richtig wenn man solche  'Kulturen' nicht im Land haben will. #Islam #Merkel #Gruenen #ISIS https://t.co/YG1r88tQME,HOF,HATE,0
1784,1784,hasoc_de_1785,Wer die Grünen wählt?   Die Wahlhelfer.👍👍  Grüne werden nicht gewählt.  Grüne werden gefälscht.😡😡  so kommt man locker flockig auf so ein Hoch🧐  aber keine Angst nach dem Hoch kommt das nächste Tief👍 https://t.co/1WIoeNxL1m,NOT,NONE,2
3062,3062,hasoc_de_3063,"@Hartes_Geld @hamaro777 Nicht, dass man von mir denkt, ich wäre ein Bot...     #Protest  #Ferkel  #Merkel https://t.co/6d3djfAc73",NOT,NONE,2
969,969,hasoc_de_970,Spitzenwissenschaftler tritt zurück: 'Die globale Erwärmung ist ein Billionen-Dollar-Betrug - viele Wissenschaftler haben sich verdorben' https://t.co/lDhepQ8aUB,NOT,NONE,2
1957,1957,hasoc_de_1958,Die linke Gefahr – Das Leichengift der gescheiterten Linken https://t.co/DQtR00Ay0f https://t.co/9zD7TLxArB,NOT,NONE,2
3469,3469,hasoc_de_3470,"Die Durchschnittseinkommen der Franzosen 🇫🇷 liegen UNTER denen in  den ärmsten #US-Bundesstaaten 🇺🇸.  Die #GiletsJaunes 🗣️ wissen, warum sie protestieren... 🤫  #Europee2019 #Macron #France #EuropaWahl2019 #ep2019  https://t.co/lhorpb53Zb",NOT,NONE,2
2106,2106,hasoc_de_2107,Die alte jüdische Weltordnung versenkt sich gerade selbst https://t.co/a1hVjm9ppD https://t.co/dGQ4ueawd8,NOT,NONE,2
2017,2017,hasoc_de_2018,"Menschen, die #Schweinefleisch verzehren sind deutlich weniger #sprenggläubig! #SchweinefleischBeruhigt https://t.co/BzpYudTN6Z",HOF,HATE,0
3028,3028,hasoc_de_3029,"@Hartes_Geld Oh diese Gestalten. Die nie eigenes Geld verdient haben, und Arbeit scheuen, wie der Teufel das Weihwasser hüpfen mal wieder, erbärmliche, degenerierte Generation von Memmen! Man müsste sie alle zwingen ein Jahr in Pflegeheimen zu arbeiten und alte Menschen pflegen, faule Typen! https://t.co/EBvpbtqFaL",HOF,OFFN,1
1895,1895,hasoc_de_1896,"Verfahren gegen #Böhmermann: Amtsgericht Köln soll seinen Geisteszustand überprüfen und die Frage, ob er überhaupt prozessfähig ist.  :)  https://t.co/C9RDRcnjFZ @janboehm",HOF,OFFN,1
1577,1577,hasoc_de_1578,"Wie naiv kann ein erwachsener Mensch eigentlich sein?  Wenn ihr @smuellermdb gelesen habt, dann wisst ihr Bescheid!    'Klarname' oder auch die Einladung an den linken Abschaum, dir Haus und Auto abzufackeln. https://t.co/phdqsOwgYm",HOF,HATE,0
1753,1753,hasoc_de_1754,Hier noch was zum Tag versauen!🤢🤢  Wünsche euch einen schönen Wochenteiler  nun geht es berg ab!!👍👍 https://t.co/G5lww9wu6i,HOF,PRFN,1
1757,1757,hasoc_de_1758,da kann ich gar nicht soviel fressen wie ich kotzen könnte🤮🤮  NUR DAS BESTE KOMMT NACH SCHLAND 😡😡 https://t.co/Z5psOlXpll,HOF,PRFN,1
1066,1066,hasoc_de_1067,@JoanaCotar @Die_Gruenen @GoeringEckardt Karin Göring Blödhart,HOF,OFFN,1
240,240,hasoc_de_241,"Da hat die gute Greta mal ihre Tabletten genommen+ eingesehen, dass wir ohne Energie im Dunkeln+Kalten stehen+sprach sich für Atomenergie aus! Tja, das war's dann mit dem Friedensnobelpreis. Welcher  Messias wird jetzt von den Medien erfunden, nach Martin Schulz, Macron+Greta?",NOT,NONE,2
10,10,hasoc_de_11,"#Offenburg: Somalier greift nachts auf der Straße einen Senioren an, tritt derart massiv auf den am Boden liegenden 75-Jährigen ein, dass er mit schweren #Kopfverletzungen ins Krankenhaus gebracht wird   https://t.co/M5ynYt2ZtM",NOT,NONE,2
3145,3145,hasoc_de_3146,"@Hartes_Geld Die grüne Vollverblödung, sitzt ja auch im BT.Die haben es geschafft sich ihren eigenen dusseligen Nachwuchs zu züchten.",HOF,OFFN,1
477,477,hasoc_de_478,"In Griechenland bildet sich Migrantenkarawane: Unter 'Allahu akbar'- und 'Deutschland'-Rufen fliegen Steine auf Polizisten, werden Frauen in die erste Reihe gestellt, Kinder als Rammböcke benutzt, um Polizeiketten zu sprengen. Daher meine Frage an Merkel: https://t.co/HieDLCwfyb",HOF,HATE,0
1077,1077,hasoc_de_1078,"Multikultureller Unterricht in #Italien: Obwohl die Lehrerin nicht alles im Griff hat, haben die Schüler Spaß und wirken glücklich.  Das ist das Wichtigste!  #diversity https://t.co/XSnVNxJI00",NOT,NONE,2
2063,2063,hasoc_de_2064,Das Kabinett beschließt 'strengere' Abschieberegeln. Ausreisepflichtige dürfen u.a. nun auch in Gefängnissen untergebracht werden. Bessermenschen finden das falsch. Und ich muss ihnen diesmal Recht geben. Denn eigentlich müsste Merkel dazugesperrt werden. https://t.co/Q30fPP05Mx,HOF,OFFN,1
993,993,hasoc_de_994,"Wahrscheinlich hat Dich Deine Psychaterin wegen Deiner Geistig und Körperlichen Veranlagung ausgewählt,(auch auch der Pheromone)!  Wenn Du dann Ritallin genommen hättest,wärest Du für Sie dann Uninteressant! https://t.co/xQVUfSb50f",HOF,OFFN,1
3733,3733,hasoc_de_3734,"@Ungebeten1 @SilviaHerrmann_ Ein immergrüner Halbschmarotzer!  Die Gastfreundschaft ist die Tugend, welche uns veranlasst, gewissen Menschen Nahrung und Obdach zu geben, die beides nicht nötig haben. https://t.co/eraQM93oK1 #Gruenen #Linke #SPD #Tuerken #Islam #hartzundherzlich",HOF,HATE,0
422,422,hasoc_de_423,"Von den 1,7 Mio „Flüchtlingen“, die in 🇩🇪 registriert sind, gehen mehr als 1,3 Mio ÜERHAUPT KEINER sozialversicherungspflichtigen Beschäftigung nach, obwohl d allermeisten doch im besten Alter jg Erwachsener sind u vor Arbeitswillen nur so strotzen müssten https://t.co/ChCmGhy4AV",HOF,HATE,0
3661,3661,hasoc_de_3662,"@realJohr @StBrandner In seinem Kopf da wohnt ein Geist, der ständig ihm aufs Kleinhirn scheißt!",HOF,OFFN,1
3694,3694,hasoc_de_3695,"@realJohr Irr und wirr wie die gesamte Nazi - Bande, egal wie sie sich grade nennen...",HOF,HATE,0
3081,3081,hasoc_de_3082,"@Hartes_Geld Du behinderter Hurensohn. Wäre das ein „nobler Patriot“ gewesen, hättest du deine minderwertige Stimme wegen des ach so repressiven Staatrs erhoben. Dreckiger Untermensch.",HOF,PRFN,1
506,506,hasoc_de_507,"Aber wenn ich zu viel Grünzeug esse, produziere ich auch zu viel CO2 https://t.co/1SCtHrCYwu",NOT,NONE,2
1840,1840,hasoc_de_1841,Grüße an die Grünen 👍👍  nur Scheisse im Hirn💩💩💩💩 https://t.co/9wN58Y2IEx,HOF,OFFN,1
1821,1821,hasoc_de_1822,Sächsisch??😂😂😂😂😂 https://t.co/E2Dxrm8dAb,NOT,NONE,2
3306,3306,hasoc_de_3307,"Viele #Bundesbürger sind ja immer noch #skeptisch,   ob der #Islam und das #Kopftuch zu #Deutschland passt,  da ist es dann umso erfreulicher, dass #SaudiArabien der #Welt zeigt,  was der #Islam in Sachen #Toleranz und #Weltoffenheit zu alles #bieten hat! ♥️    https://t.co/dGy0zOeGkL",NOT,NONE,2
