,text,true_label,without_label,adv_labels
21,عساف كول هوا,1,1,1
22,منك عارف كيف بدك تتبهدل عم تشتري البهدله لحالك مشترى البصله بصله بعمرها ما رح تصير فريزه ,2,1,1
23,تيتا النحس ام البوتكس والشد والنفخ العمى ما بتستحي عا كبرتك وشيبتك ولك,1,1,0
24,شو راي العماد عون بتعليقك ,2,2,1
25,انت خراس و انت مين اصلاً لتحكي يا حشرة يا نكرة يا خاين يا ابو ليرة يلا نضب بعد ناقصنا هيك ناس يحكوا,1,1,1
26,يا زلمي لو طالع بإيدك شي كنت مش عم تعوي هيك من مك جمعة خلصنا بقى ,1,1,1
27,من الضاحية الابية هنا دمشق ,2,2,2
28,يللا بسيطة المهم خسارتنا مشرفة,2,2,2
29,سماحة السيد نحن بامرك بس جبران باسيل دمو تقيل,2,2,2
30,رفيقة هيدي ثقافتن ولازم نرد علين بحسب ثقافتن وأخلاقن ,2,0,0
31,هيك بجم بدن هيك مسرطن .طز بهيك شعب وهيك دولة وهيك قضاء,0,0,0
32,هل تعلم انه بالحرب اللبنانية كان في إجرام قد ما بدكن بس ما كان في فجور سياسي قد هلق,2,2,2
33,مبادرة بيروت للسلام عام بحضور الرئيس المقاوم اميل لحود ورئيس مجلس النواب الاستاذ نبيه بري رئيس حركة امل، تحدثت عن سلا…,2,2,2
34,فينا نعرف مين المرجع الكبير معاليك؟؟؟ ,2,2,2
35,ما خرج يرد هوه شريك وداعم وللاسف هذه المرة رهانك خاطئ ,2,1,1
36,مريضة نفسياّ,1,2,2
37,من الشيخ سعد الى الحكيم صفحة وطويتا ومن عمري ورميتا يا خسارة حبيتو وما بيستاهل حب,2,0,0
38,وانت نهبت بنك المدينه ,2,2,0
39,سلامتك يا قلبي انشالله هو   ,2,1,1
40,قطر الارهاب ,0,0,0
41,ما دام كل طائفة لها زعميها وله نفوذه بالدولة وله عبيد له بالشارع لاتحلم بالإصلاح ,2,2,0
42,يا مين يشتري مشيخة سعد وباكاوية وليد على دونا على دوّي ,2,0,0
43,صدقت ياصوت لبنان الحر العابق بالنضال والوطنية المحترم وهاب قطب فاعل ونقي من الدروز الشرفا ,2,0,0
44,ولكن الجواهري الكبير قال سلاما ايها الاسد سلمت ويسلم البلد وتسلم امه فخرت بانك فخر من تلد ,2,2,0
45,انت الفادي بس للاعور ,2,1,1
46,فعلا وبالملموس كلامك صح والف مبروك للناجحين وان شاء الله بتنفرج بالحكومة وخلي هالناس تفرح شوي ,2,2,0
47,يللا املنا كبير ع يد سموه تنفصل الحجاز وتهامة عن نجد,2,2,2
48,كول هوا ولاك اخونجي  ,1,0,1
49,العما شو هالحمار,1,1,1
50,ما بقى تقول له بك ، أن زمن البكاويي دفن وأنتهى وأصبحت عظامه مكاحل ,2,2,2
51,كل عام و انت ديوثَة و كل عام و انت نكرة و كل عام و انت ناقصة و كل عام عندك خلل ونقص انت بتشبهي كل الشي ا…,1,2,0
52,العمى شو تشتوش,1,0,1
53,لا استبعد اَي ش جبران باسيل إنسان بل اخلاق,1,2,2
54,الحق على ألشعب ألبهيم أللي بس زعيم طائفتوا أللي مزحفو و مركعو حدا يقرب عليه بيركض وبيصير يصّرخ بالدم  ,0,0,0
55,هذا المليار ليس حبا للبنان وليس تبرع ولاهديه علشان يشري ضمائر ويشري ناس حقيره تساعده  ,2,0,0
56,ذنب يحارب ذنب ما اخس من الكلب الا ذيله تجمعكم الخيانه والتبعيه ,1,0,0
57,مؤتمر صحافي يجمع وزير الخارجية جبران باسيل والامين العام لجامعة الدول العربية أحمد ابو الغيط لعرض نتائج اجتماع اللجنة,2,2,2
58,ههههه سوريا دولة قائمة تستعيد عافيتها وقوتها بسرعة رغم عن أنفك يا بوق سلمان,2,0,0
59,جبران باسيل لحاله فيلم,2,2,2
60,جبران باسيل قصدك عم يحكي الشباب,2,2,1
61,كول هوا وسد بوزك معلمك لجاسوس لمجرم بدو شد شعر لشايب,1,1,1
62,لمين الاهلا وسهلا لبشار الأسد يا عيب الشوم عليك انت عميل صغير وراح بتضل عميل وصغير ,1,0,0
63,افي بغل وانت بيك جنباط موجودين انتو بغال بجدارة وانتو ملوك الفتنة وبيك كلب اصلي اميركي يا هلا ,0,0,0
64,جبران باسيل متخلف عقلياً,1,2,2
65,لعمى ما اكذب منك الا جريدة الأخبار خراس عند هاالصبح ,1,1,1
66,هي شخص رهيب بحق يعني ما بعرف كيف ما حدا مكتشفها من قبل,2,2,2
67,كول هوا مين ما كنت تكون بتسوى صرماية,1,1,1
68,لسانك حصانك وحسنا فعلت قطر لتلغي مركز الأبحاث لا مرحبا بكم انتم ولا تستاهلون اي عمل لكم ناكرين المعروف ,1,2,0
69,الوزير جبران باسيل كان اول من طرح موضوع عودتهم الى بلدهم ليس انطلاقاً من موقف عنصري، معتبرا ان الجميع لاحقاً التقوا على ا…,2,2,2
70,لا تجحش محسوبك اجحش خخخخخ,1,0,1
71,ههههه كيف عرفتي,2,1,1
72,المضطرب نفسياً جبران باسيل,2,2,2
73,وهاب فليسجن هذا المجرم ,2,2,2
74,انت يا سارق شو مفكر ما منعرف مين سرقلا المصاري و افلست الشركة روح شوف فسادك انت من وين معك كل ,2,1,1
75,الإنجازات يللي حكي عنا الوزير انو عملها بتضوّي لبنان وقبرص,2,2,2
76,نحن فينيقيين ولسنا العرب اعوذ بالله من اصول العرب ههه العرب جرب,0,0,0
77,اجا غصبن عن أنوفكم واستقبلتوه ,2,1,1
78,ولك وئام وهاب لأزم فخامة الرئيس يشوف شو عم تحكي ولك عيب عيب مبارح شفت بي شو تبرعت يا عيب بشوم عليك خلصنا انت لازم تتحاسب ,2,2,0
79,قطر شنت الحرب على اليمن قطر أخرجت سوريا من الجامعة العربية قطر بلد المنشا للداعية محمد بن عبد الوهاب,2,0,0
80,صدق من قال هذا زمان الدعارة قد تكامل ,1,2,2
81,شارل منفصم عفكرة عايش بكوكب تاني,2,1,1
82,الاصلية كانت سافر فأنت لست شجرة على ما اذكر,2,2,2
83,مين قتل الشهيد وسام الحسن هني نفسهم جوقة البوم يلي حضرتك معلق بزنارهم ,2,2,0
84,فيك تعتقد متل ما بدك بس المعروف وكل العالم بتعرفو انو سعد هبيلة من اوليتو ,1,2,1
85,شوفتك مبسوط ب الكلام عن العماد عثمان والحريري وغيرن متل شي ولد صغير حاطت عينو ب صندوق الفرجه وما عم يت… ,2,2,0
86,روحي جيبي شرفك من نظام الأسد يا عجوز,1,0,0
87,انت يافارس يا واطي يا رافضي يا مجوسي العرب والبدوو الشرف منك يا عديم الشرف,0,0,0
88,جبران باسيل عليه اللعنة,1,2,2
89,خليكن بزقوا ع بعضكن ع اساس انت منزه يا عنصري اذا بدك تنشهر ع حساب اهانة الناس من السعودية للشعب الفلسطيني وقت التصويت بآراب أيدول وغيرو وخبرنا لي حذفت تغريداتك ضد باسيل وقت حكي عن الرئيس بري   هيدي مش حرية اعلام   هيدي الكمية لي حكيت ع,1,0,0
90,ابوجهل عم الرسول يا حمااااااار يا مثقف يقطع عمرك روح إلغي صفحتك ولاعاد تشهنق يا بهيم لاني فعلا هزلت,1,0,0
91,مياومو الإعلام لما بتصير حرية الرأي و التعبير و مهنة الصحافة و الإعلام مرادف لحرية الشتيمة و تشويه الحقائف و الحمل,2,2,2
92,الحين صار إسمه مدعوس باسيل,1,2,2
93,خلك بعيد يا كلب حسن عفوآ احمار حسن كان الكلب يركب الحمار لاتتطفل على ادروز يا العميل ,1,0,0
94,انا مين انت بدك تناقش فكرة ولا شخص فعلا انك قواتجي بهيم,0,2,2
95,وطننا يحتاج الى من يشبه صدام حسين لاننا شعب لا تليق به الديمقراطية ,2,0,2
96,طلع اذكى من ميشال عون و جبران باسيل مجتمعين ، انا معو لرئاسة الجمهورية للموت      ,2,2,2
97,كول هوا بترتاح,1,1,1
98,هو حد جاب سيرتك ولا لازم تبوس الجزم و تعيش راكع حتي لو عايش في قطر هما بيدوك احسان ولا مرتب ,1,0,0
99,أمر عمليات اليوم جبران باسيل ينفذ اوامر الولايات المتحدة وإسرائيل ويريد تغيير عقيدة الجيش,2,2,2
100,فرحان أوييي يهبل؟ انت مين مفكر حالك يا عميل بشار الكلب لا بل حرب طلع نفسك و لا بلسلم بيّنت هلق بدك ,1,2,1
101,بعد تأكيده أن لا خلاف إيديولوجي مع اسرائيل، وزير خارجية العهد القوي جبران باسيل يؤكّد في مقابلة مع قناة سيإنإن أن أمن…,2,2,2
102,وبما انك طلعتي تابعة لحزب روحي حاسبي جبران باسيل والفساد والسرقات ,2,2,2
103,العونيه كلاب بدهن عظم يا بيك عمبيعوو مثل الكلاب الجربانه,0,0,0
104,هالمخلوقة ليش حمارة هلقد بدها تحكي سياسة و هي غبية يا الله صبرني,1,1,1
105,طيب وين إحترامك للقضاء؟ فورا على السجن وشو سبب توقف هجومك اليومي على الشيخ سعد؟ سبحان الله فجأة إنتطفأت محركات التعدي ,2,2,2
106,لبنان علّم العالم كيف منتيّس ع وزير بالزايد حتى لو فرط البلد,2,2,0
107,عندما يصبح القضاء مستقلا ولم يتبع من خلال سياسي لتعيينه في الجسم القضائي ممكن أن نتخلص من  ,2,2,2
108,يتم محاولة تسويق فكرة ان تعطيل الحكومة هو بأمر خارجي على هذا المنطق يعني ان جبران باسيل ينفذ اوامر الخارج  ,2,2,2
109,سماحة شيخ عقل الطائفة الدرزية   الشيخ نعيم حسن فاخرس يا ايها البرميل ,1,0,0
110,الله عليك يا رولاند شو مهضوم ضيعانك تكون قواتجي يا صديقي العزيز ,2,0,0
111,هذا شيخ البلاط الجنبلاطي يسخّر ضميره ويكذب على ديننا ويقوم بالتغطيه على زنديق ناكث لديننا   كفى قلب للحقائق الدامغه ,1,0,0
112,بدك ما إلك إلا تكذب عن جبران باسيل,2,2,2
113,ما في دم،نوايانا واضحة بس في نوايا مش نظيفة عم تحط مكونات درزية راس حربة بلعبتها ضد مرجعيا… ,2,2,2
114,هلق شفتي اخوة ناجحين بكفائتن وما عجبك بس ما شفتي انه هيدي اول مبتراة بينجح فيها مسيح ,2,2,0
115,يا لطيف ما ازنخه,1,1,1
116,اللذة انو هالحليفين ما بيفضحوا بعضن بالسرقة والفساد الا لما يدبكوها مع بعض,2,2,0
117,صار كل كلب عوني بدو ينشهر على تويتر  بيتطاول على تاج راسو وليد بيك جنبلاط لان بيعرف حتى لو تعلق على شريط صباطو بيكبر . من تحت حذائك يبدؤون مسيراتهم,0,1,0
118,شعوري أني لبناني اجدب,2,0,0
119,ليك يا حب قبل ما تفهم الموضوع ما بحقلك تحكي واذا حابب تعرف تفاصيل فيك تسأل ,2,2,1
120,انها المومياء اللبنانية فلبنان اصبح كالمومياء المحنطة تحمل التاريخ ولكن بدون حياة ,2,2,0
121,صار بالمربع الأمني وانسحق   ,2,2,2
122,والله يامعالي الوزير الهيئه التانيه بتظبط اكتر ,2,0,0
123,نحتاح شعب جديد ,2,2,2
124, يرحم جدك كان يغرد ع السجرة,2,1,1
125,إذا إتعدى على أملاك النهريه أنتم تعديت على لبنان يا عكاريت ,1,0,0
126,في فئة من الناس لما تحكي بالسياسة، اي رئيس مو مهم مجرم قاتل مختلس نصاب فاسد المهم انو مؤيد للقضية الفلسطينية ولو بالكلام,2,2,2
127,جبران باسيل مالئ الدنيا وشاغل الناس,2,2,2
128,لو بتحييد كنت بترتاح وبترييح,2,2,1
129,عفكرة وجع عيني عينك واقفين مع نظام فاسد تضربو بهالمنظر كلاب جحاش,1,0,0
130,إعلام القمة العربية التنموية يعلن أن اقتراحا لبنانيا مهما سيقر في شأن أزمة النازحين واللاجئين سيذيعه وزير الخارجية جبران باسيل,2,2,2
131,ابن الكلب رح يظل ابن كلب سواء كان مثقف أو عادي البحث عن المشترك نقاط التلاقي توحيد الصف فسبك كمثقف,1,2,0
132,معاليك معود عالصرامي صار بدك تحكي بالسندات و الاستثمار خليك لا تعرف اريحلك ,1,2,1
133,السومه تاج راسك ي كلب,1,0,1
134,اخ الحمدالله خسروا الكلاب  هلا فيني موت بسلام,0,0,0
135,جبران باسيل معتوه,1,2,2
136,واعلم ان العديد من اللبنانيين يعملون فيهافارجوك عادي من شئت اما لبنان الرسمي فلا يستطيع معاداة احد سوى الكيان الصهيوني ,2,2,0
137,يا فهمان الدولة مش عم تأمن للمواطن اللبن ,2,2,0
138,ولا عزاء للكلاب ,2,2,2
139,يا ابن اللقيط ابن ال سلول القذر انت ومعلمك الخنزير ابن سلمان المنشار المتعامل مع اليهو…,0,1,0
140,هو كوميدي الشيخ سعد ,2,2,2
141,هربان من العدالة بدوا يحاضر بالعفة ,2,2,2
142,لا يوجد ثوابت يوجد مصالح أنت عراقي وتعيش في أمريكا من أجل مصلحتك فما بالك بدول ,2,2,2
143,هيدا تدخل بالشؤون اللبنانية ما بيكفي عامل ميليشيا بأرضنا ومحتلنا ,2,2,0
144,طهر نيعك يا عميل يا مفتن يا صغير و جوت امير قطر بنيعك ملاحظة جوت بالقطري يعني صرماية ,1,0,0
145,و جبران باسيل ما استنكر ، اي معن حق في خيانة,2,2,2
146,بوحود الرئيس ميشال عون والوزير الملك جبران باسيل سيستعيد لبنان موقعه وعافيته ونهضته رغم كل العراقيل والمعرقلين الفاسدين,2,2,0
147,يلعن اخت العسكر عرص إذا ما بيجي من وراهم إلا دمار البلدان,1,0,0
148,حتى لو اجتمع جبران باسيل ب نتنياهو حزب الله سيصمت ف الحزب لا يستطيع ازعاج باسيل لانه بحاجة لغطاء مسيحي يشرع…,2,2,2
149,والله مافي اهبل منك ,1,1,1
150,ولك إنت مين يا حشرة لحتى تشبه حالك للعملاق مارسيل غانم,1,1,1
151,نسيت تقول الشهيد ,2,2,2
152,وانت بول شو بتشرب يا بعير,1,1,1
153,مجرم ارهابي ينادوه بي اميرها وهو انجق صوص يملك المال الحرام وكل افعاله رمي الفتن والقتل والتخريب الى زوال قريبا ,1,2,0
154,انتو شو دخلكن يا لاجئين كول هوا احسنلك صرماية خريبين بتسوى منتخبك كلو,0,0,1
155,على الأقل دحلان بالنهايةعربي قح وليس اسرائيلي كما زلمتكم عزمي   ,2,0,0
156,شو هالخره انت تضرب فيك وبي يلي بشد عا مشدك واحد محتال حقق ليره ,1,1,1
157,نريد فقط رجال لديهم من الوطنية وحس المسؤولية لاستبدال طبقة فشلت عند كل استحقاق من … ,2,2,2
158,قوة ودور جبران باسيل ومكامن نجاحه كوزير خارجية في المحافل الدولية للدفاع عن لبنان من العدو الإسرائيلي,2,2,2
159,قبل نفوق المقبور حافظ واسرائيل تضرب سوريا الى اليوم وبدون رد شو السبب يا وهاب,2,2,0
160,كل الميليشيات تكتلت تتواجه جبران باسيل مش غريب ما حدا قدر يلاقي دليل يحارب جبران فيه؟؟ مياومو الإعلام,2,2,2
161,توظيف كتاب عدل من ثلاث اشقاء بالنتائج الاخيرة هم غرايس عصام نعيم، آلان عصام نعيم وايلي عصام نعيم,2,2,0
162,بدوا صرماية تسد نيعو وكثير عليه العمى شو واطي,1,1,0
163,جبران باسيل للمرّة الثانية على التوالي يقر بحق اسرائيل بالوجود والأمان,2,2,2
164,صادق يا أخي الكريم حزب الشياطين والحمدين ورطقعان وجهان لعمله واحده ,1,2,0
165,انت عم تحكي عين الحق ,2,2,1
166,وطننا يحتاج الى طبقة حاكمة غير فاسدة ,2,2,2
167,هل تعلم ماذا كتب عن عملاء البعث,2,2,2
168,وديعة بفائدة عالية من مصلحة السياسين اكيد ليسرقوها ,2,2,2
169,والخراب اللي في اليمن وتقسيم اليمن وتشريد شعبه وتجويع شعبه واحتلال المواني فيه مش خراب,2,0,0
170,قال عم يهاجموا جبران باسيل,2,2,2
171,وئام وهاب انت مشروع فتنة درزية أنت يا من تتغنى بدرزيتك كل يوم ، كيف سمحت لك درزيتك ان تكون رأس حربة ل… ,0,2,1
172,عفون نفعلت وحكيت هيك وزحط ما بدي اسمع نهيقك,1,1,1
173,طز بهيك عرب طز بهيك دولة تفو,0,0,0
174,مبروك لبنان ابتداءً من هالليلة صار في انترنت سوبر سريع ببعض المناطق بفضل إطلاق مشروع الألياف الضوئية يللا عقبال ما يصير عنا كهربا,2,0,2
175,اكيد مهضوم ومحترم,2,2,2
176,وقاحة يلي عم يكتب فرح لتحرير إخواننا الأكراد بعفرين من عصابات الـ هو إما جاهل، أو عنده حقد غير طبيعي للأكراد وبده يستفزهن حط بالخرج,2,0,0
177,حافظ ابن الجحش بشار الاسد يصف السوريين المعارضين بالعميان جحش خلف كر,1,0,0
178,و الله منو قليل جبران باسيل جالطكن انتو كمان    ,2,1,1
179,نحتاج الى مسؤولين جدد لادارة الوطن ,2,2,2
180,شو بتلبقلك كلمة خنزير بتجي مفصله على قياسك وشكلك    ,1,1,1
181,مياومو الإعلام موضة العصر فقط للهجوم على العهد وعلى جبران باسيل,2,2,2
182,مثل ما سعادة السفير يبني العلاقات السعوديه اللبنانيه,2,2,2
183,وافسم بالله انك كبير المنافقين هي قطر اللي دمرت سوريا و السعوديه بتعمل ايه بالوطن العربي بالله عليك كم  ,2,0,0
184,هل يجوز أن يتوظفوا قبلنا ونحنا من سنتين ناجحين وممنوع علينا نتوظف بسبب طائفتنا ,2,2,2
185,انت حمار باللغة العربية ,1,1,1
186,الدعس لك واتباع الصفويين ولاعقي احذيتهم,1,0,0
187,أين المحاسبة النيابية,2,2,0
188,دولة الرءيس الشيخ سعد الحريري تاج رأسك واشرف منك ومن عيلتك ومن الي خلفك ,2,0,0
189,يخليلنا ياك يا رب ,2,1,0
190,يا محلى اللطميات قدام انا وياك فرقة رابعة هي,2,0,0
191,يلا لحيسه بلشو تعويه ,1,0,1
192,قال رسول الله صلى الله عليه وسلم من سب أصحابي فعليه لعنة الله والملائكة والناس أجمعين، لا يقبل الله منه صرفا ولا عدلا,2,2,0
193,الحب الحقيقي هو لما تكتبلك تقول بقلبك تقبرني هالضحكة,2,1,1
194,عشانك حمارة,1,1,1
195,أيتها النصرانية البشعة القبيحة فاقدة الأنوثة والجمال والأخلاق أنتي مصابة بداء جنون العظمة تظنين أن لا أحد يفهم في الإعلام إلا أنتي وتظنين أن لا يوجد قناة إلا خنزيرتك وبإمكان خنزيرتك هز الدول واستقرارها  شو قالولك مثل بلدك لبنان مغتصب من إيران عبر حزب الله  يا بشعة,0,0,0
196,هوي بيكره كل العرب ما بفرق والولاء للتومان الإيراني ,2,0,0
197,مياومو الإعلام إذا ما ذكروا جبران باسيل بكل أخبارن وبرامجن ما حدا بيحضرن  ,2,2,2
198,هل يوجد انسان بكامل قواه الوطنية يتكلم بهذا الشكل؟,2,2,2
199,وعندك مذيعة الأخبار يللي اليوم معيّرة شفافا بالطرمبة ولازم مكسيموم,1,2,0
200,وبشر الصابرين بالفرج ,2,0,2
201,و صباح الإستيييذ الشريف الوحيد و الأصلي ,2,2,2
202,لنصل الى دولة يحكمها القانون والعدالة يجب رفع الغطاء عن الفاسدين ,2,2,2
203,على أساس انو انت من داعمين السلم والسلام في المنطقة   انت واحد واطي بتدعم واحد أوطى منك,1,2,2
204,شو اخبار منشار الخاشقجي يا ديموقراطيين ,2,0,0
205,شو ما عملت وشو ما حكيت و قد ما عويت ونبحت وجعرت ونزلك قرق ما حدا رح يرد عليك   ,1,1,1
206,الله يقوي هالطائفة ويبارك برجالها الأحرار ومشايخنا الي منشوف حالنا فيهن يطول عمرك وعمرو معالي الوزير ,2,0,0
207,كلاب لبنان أحقر من اليهود لاشرف ولامرؤة ولادين استبقلكم الشعب السوري يوم كنتم كلاب لاجئة هائمة في  عرسال ورديتم الجميل بالرصاص عبيد المجوس والترك,0,0,0
208,فديو جديد لقزم جبران باسيل يصف نبيه بري بلبرعوت وبدو يكسرو راسو,1,2,0
209,اديش بتاخد عالتويت ,2,2,0
210,وهيدي صورة للحبايب يللي جالطينك صبح وظهر ومسا ,2,1,0
211,يتيم المجد يدفع لكم ملياردولار واخرتها تحطون صورته وتكتبون تميم العنز  مالكم حل اخذتم الفل… ,2,0,0
212,غريب انو خطرلك السؤال مع انو عميق جدا للغاية,2,2,2
213,يا ريت نصف السياسيين في لبنان بيحكوا مثل جبران باسيل,2,2,2
214,يا حرام يا مارك نزلو فيه,2,1,0
215,فعلا انك نذل وحقير ,1,2,1
216,الله يوفقك ,2,1,1
217,وين عمك الملقي مشان ضرب المستثمر واستقطاب المستثمرين طز بهيك حكومات,1,0,0
218,انت بتطلع الكلمات من طيزك وبتصفها ورا بعض اعتباطيا الفلتر آخذ عقلك الخرا,1,1,1
219,مش دايماً الولاد بيشبهوا أهلُن لأن أوقات بشوف أمهات شفافن دافشين وولادن شفافن مسح 😎 ,2,2,0
220,دمشق كانت ولا تزال  دمشق عمر بن عبد العزيز رضي الله عنه ,2,2,2
221,تشبه اليهود,0,2,2
222,انفصام ,2,2,2
223,عن أي دولة عم تحكي؟؟ عن عهد التبعية والفشل والجرائم والفساد والصفقات يللي عحساب كل المواطنين ، العهد يل… ,2,2,0
224,معليك الفساد من رأس الهرم البلد كلوا فساد شو وقفت على هيدي المخالفة بس الاهم انو العهد قوي ,2,0,0
225,أحن الى زمن لما كنا اذا اشترينا جينز وطلع في خيط منسّل نرجعلو ياه ونجيب المصريات هههه هلق ما منقبل نلبسوا اذا مش آكلو الكلب 😎,2,0,0
226,بعمره السوري ما رح يكون في خير لهالبلد ولك متحملبن نزوح مليونين سوري ولا بلد بالعالم استقبل هالعدد نسبة لحجمه وتحمل ما تحمل تبعات اقتصادية وأمنية وبيجي نائب سوري جربان بدل ما يشكر لبنان بقول لبنان استفاد من أزمة النازحين! طول عمركم ورح تبقوا نجسين,0,0,0
227,بدو ياخد رضا الكلب بشار حتى يورث عمه برئاسة الجمهورية,1,2,0
228,يا واطي يا كلب حذاء هاؤلاء الابطال اطهر  منك حزب الله شرفك عرضك كرامتك يلي بلى كرامي,1,1,0
229,وشو خصك يا طبل تتأهل أو ما تتأهل ,1,1,1
230,يا زلمة شو انك لحيس و بتغير مبادئك من كم سنة كنت عم تقول عنو الزعيم العربي الكبير   ,1,2,1
231,عم تحكي عن الوزير جبران باسيل هاي استقبلها الحريري وأشرف ريفي سمارة طريق الجديدة,2,2,2
232,المحسوبيات ما بينعملن ثورة بس جبران باسيل اذا بارز عالساحة اكتر من غيرو منتذكر الثورة,2,2,2
233,هوي مختار مش قادر يعمل بضيعتو وااااك واااااااك وااااااااك ,2,2,2
234,كيف بتنزهوها من دون دليل؟ او خلص اذا الحليف اشتراها منغض النظر ؟   ,2,2,2
235,فرجونا وجه أمير قطر قاعد على كرسي أوطى من كرسي جبران باسيل بعد ما باسولو طيزو ليجي,1,2,2
236,كول هوا مش شغلك,1,1,1
237,ما حدا بالو بطرح اسمك نحن همنا نؤمن ع حقوق المسيحيين من خلال رئيس الحمهورية ت اذا في حال انت وصلت مع اني بشك للرئاسة,2,2,2
238,قالو لفرعون مين فرعنك قالن ما لقيت حدن يردني التغريدات ما بتكفي شو ناطرين لنبعتو عند اهلو و حبيبو ابن سوسو ,2,1,0
239,انتو عم تاكلوا هوا لأنو هالدول و الشعوب داعمينكم بلا مؤاخذة,1,0,0
240,من كلمة معالي الوزير جبران باسيل في افتتاحية القمة العربية,2,2,2
241,كله بيشبه كله مين بدو يحاكم مين ما في الا؟سلطة الشعب ,2,2,0
242,كتبت عن جبران باسيل كل حركة أمل عملولي ريتويت,2,2,2
243,يعني لو الست ديما كتبتاعتذر عن الخطأ كانت وفرت علي ما لا يقل عن ميغابايت من عجقة التايملاين الناجمة عن احصائياتها الخزعبلية,2,2,0
244,جبران باسيل يصر على إخراج اللاجئين السورين من لبنان بناء على دوافع لسنا بصدد البحث في مدى مصداقيتها,2,2,2
245,لكن حضر حالك يا قمر     ,2,1,1
246,شوي جبران باسيل ما عندو خلاف ايديلوجي مع اسرائيل وشوي أمنها هو حق,2,2,2
247,كل شخص بيفتري و بيتعرّض ل سمعة جبران باسيل مفروض يتحاسب,2,2,2
248,اللي قالوا الوزير باسيل، وزراء خارجية فلسطين وإيران ما بيسترجوا يقولوه,2,2,0
249,فشــــرت يا حشرة حريتنا ورح ناخدها تضرب انت وبشار والملك تبعكم تفو عليكم انت يهودي فشرت تكون عربي الله ياخدكم اشه لفه,1,0,0
250,انت حقآ وقح عاهرة تحاضر بالعفة ,1,1,1
251,نعم إنه عل حق اذا إسرائيل حققت سلام مع فلسطين لبنان اردن والدول العربية وين المشكل بس هيك جبران باسيل,2,2,2
252,لو مواطن عادي بنى خيمة قرميد ليستر عائلته لتحركة كل اجهزة الدولة وعندما تنهب مافيا السلطة الاملاك العامة لا تحركوا ساكن ,2,2,2
253,هرب قد ما هوي جبان ,1,1,1
254,خنزير ريحتك طالعة صرماية اصغر قطري بتسوى اهلك ويلي جابوك ,1,1,0
255,هللويا مبروك للشعب اللبناني ولادة حكومة,2,0,0
256,فيكن تمرقوا ع جسر الكولا بس جرّبوا ما تنطنطوا عليه,2,2,0
257,يلعن رب شحادة اللايكات باسم سوريا وبصور ولاد سوريا اخت تعاطفكم بالناقص منو,1,0,0
258,نحنا مين؟ نحنا وطن بلا روح يا اهلا و سهلا بالجميع و كل من يسند لبنان ,2,2,0
259,طز فيك شو زبالة,1,0,1
260,لو فعلا في دولة حضرتك كنت بالحبس هلق بس للاسف ,2,1,1
261,صحيح ما في اي شك بس الدروز كلاب و خونة,0,2,0
262,نحن في بعضٍ من دولة ,2,2,2
263,عبالي صاروخ بعلبك,2,0,0
264,دولة كل مين ايدو اله ,2,2,0
265,ايييه هيك حلم جبران باسيل بدو يعمل هيك,2,2,2
266,وقت جبران ما ب كفّي لبنان,2,2,2
